project,manual_annotation,arm,autonima_run,auto_column,broad_arm,dice,pearson_r,r2,studies,points,voxels
social,affiliation_merged,autonima,v3,affiliation_attachment,all_merged:all_analyses,0.3857,0.6089,0.3708,65,1576,902629
social,affiliation_merged,baseline_sub,v3,affiliation_attachment,all_merged:all_analyses,0.2575,0.5692,0.324,181,5805,902629
social,affiliation_merged,baseline_broad,v3,affiliation_attachment,all_merged:all_analyses,0.1544,0.5388,0.2903,503,17348,902629
social,self_merged,autonima,v3,perception_self,all_merged:all_analyses,0.4325,0.6585,0.4336,60,1448,902629
social,self_merged,baseline_sub,v3,perception_self,all_merged:all_analyses,0.2016,0.5946,0.3535,754,23466,902629
social,self_merged,baseline_broad,v3,perception_self,all_merged:all_analyses,0.2408,0.6288,0.3954,503,17348,902629
social,others_merged,autonima,v3,perception_others,all_merged:all_analyses,0.5956,0.8391,0.7041,254,6803,902629
social,others_merged,baseline_sub,v3,perception_others,all_merged:all_analyses,0.4681,0.8097,0.6555,678,23235,902629
social,others_merged,baseline_broad,v3,perception_others,all_merged:all_analyses,0.5103,0.7901,0.6242,503,17348,902629
social,soccomm_merged,autonima,v3,social_communication,all_merged:all_analyses,0.5629,0.7831,0.6132,150,4211,902629
social,soccomm_merged,baseline_sub,v3,social_communication,all_merged:all_analyses,0.4232,0.7304,0.5335,698,22610,902629
social,soccomm_merged,baseline_broad,v3,social_communication,all_merged:all_analyses,0.4413,0.7411,0.5493,503,17348,902629
social,all_merged,autonima,v3,social_processing_all,all_merged:all_analyses,0.7381,0.8944,0.7999,271,7711,902629
social,all_merged,baseline_sub,v3,social_processing_all,all_merged:all_analyses,0.6904,0.8612,0.7417,503,17348,902629
social,all_merged,baseline_broad,v3,social_processing_all,all_merged:all_analyses,0.6904,0.8612,0.7417,503,17348,902629
