run,n_rows,n_cols,dice_mean_full,dice_mean_diagonal,pearson_mean_full,pearson_mean_diagonal
v1-annotation-only,8,5,0.495812701704593,0.5681457056606091,0.7064628136686922,0.7680657606101902
v1-annotation-only-gpt5,8,5,0.44121201702243695,0.4444177759167268,0.6548053948709833,0.6549498014354406
v1-annotation-only-lc,8,5,0.4635352101381594,0.5114759724577154,0.6786148816299925,0.7264129659744215
v2,5,5,0.44467787824242677,0.5603510840703574,0.6457179791506833,0.7403104710520667
v2-all_pmids,5,5,0.44195107771748615,0.5441148327422903,0.6471126000962262,0.7403304193342011
v2-annotation-only,8,5,0.5004152565312875,0.5748906877221426,0.7155726299531248,0.7709008583515258
v3-all_pmids,8,5,0.4953153073724274,0.5670217962973358,0.7029154475754293,0.7549687666510542
v3-all_pmids-multi_analysis,8,5,0.48487962697593573,0.5467127377506071,0.6878420318386473,0.7317542122624032
v3-all_pmids-multi_analysis-ft,8,5,0.5052102212429991,0.5718592206388908,0.7190486911966778,0.7710155416543012
v3-all_pmids-multi_analysis-ft-gpt52,8,5,0.42674699748950606,0.43890144858544433,0.6635805775805682,0.6849576024037793
v3-annotation-only,8,5,0.4540471770418117,0.4952364132826207,0.6662611729333575,0.6984873163877731
v3-search-all_pmids,8,5,0.4838675105703073,0.5649922566010506,0.7083836655885645,0.7657471093508773
v3-search-all_pmids-multi_analysis,8,5,0.47929770280249784,0.5656829560401471,0.7040605492044297,0.7667350919251154
v3-search-all_pmids-multi_analysis-ft,8,5,0.49227035399091756,0.5615712491099983,0.7238148510057397,0.7785985802540314
