run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v1-annotation-only,affiliation_merged,affiliation_attachment,99,39,True
v1-annotation-only-gpt5,affiliation_merged,affiliation_attachment,75,27,True
v1-annotation-only-lc,affiliation_merged,affiliation_attachment,85,29,True
v2-annotation-only,affiliation_merged,affiliation_attachment,102,40,True
v3-annotation-only,affiliation_merged,affiliation_attachment,42,24,True
v1-annotation-only,self_merged,perception_self,73,33,True
v1-annotation-only-gpt5,self_merged,perception_self,56,19,True
v1-annotation-only-lc,self_merged,perception_self,61,29,True
v2-annotation-only,self_merged,perception_self,77,34,True
v3-annotation-only,self_merged,perception_self,63,31,True
v1-annotation-only,others_merged,perception_others,435,125,True
v1-annotation-only-gpt5,others_merged,perception_others,250,76,True
v1-annotation-only-lc,others_merged,perception_others,375,94,True
v2-annotation-only,others_merged,perception_others,444,123,True
v3-annotation-only,others_merged,perception_others,367,116,True
v1-annotation-only,soccomm_merged,social_communication,284,75,True
v1-annotation-only-gpt5,soccomm_merged,social_communication,169,43,True
v1-annotation-only-lc,soccomm_merged,social_communication,215,51,True
v2-annotation-only,soccomm_merged,social_communication,302,76,True
v3-annotation-only,soccomm_merged,social_communication,130,39,True
v1-annotation-only,all_merged,social_processing_all,591,143,True
v1-annotation-only-gpt5,all_merged,social_processing_all,341,96,True
v1-annotation-only-lc,all_merged,social_processing_all,580,137,True
v2-annotation-only,all_merged,social_processing_all,609,143,True
v3-annotation-only,all_merged,social_processing_all,587,147,True
v1-annotation-only,,all_abstract,742,154,False
v1-annotation-only-gpt5,,all_abstract,746,154,False
v1-annotation-only-lc,,all_abstract,753,154,False
v2-annotation-only,,all_abstract,766,154,False
v3-annotation-only,,all_abstract,744,154,False
v1-annotation-only,,all_analyses,742,154,False
v1-annotation-only-gpt5,,all_analyses,746,154,False
v1-annotation-only-lc,,all_analyses,753,154,False
v2-annotation-only,,all_analyses,766,154,False
v3-annotation-only,,all_analyses,744,154,False
v1-annotation-only,,all_studies,742,154,False
v1-annotation-only-gpt5,,all_studies,746,154,False
v1-annotation-only-lc,,all_studies,753,154,False
v2-annotation-only,,all_studies,766,154,False
v3-annotation-only,,all_studies,744,154,False
