pmid,priority,is_gold,in_included_set,type,reported_by,existing_path
11352615,1,True,True,incomplete,v3;v3-allstudies,/home/zorro/repos/autonima-results/articles/elsevier_output/11352615/text.txt
29760183,1,True,True,incomplete,v3;v3-allstudies,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/29760183.html
29771359,1,True,True,incomplete,v3;v3-allstudies,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/29771359.html
30154703,1,True,True,incomplete,v3-allstudies,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/30154703.html
11037096,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Psychological medicine/11037096.html
12202103,2,False,True,incomplete,v3;v3-allstudies,/home/zorro/repos/autonima-results/articles/elsevier_output/12202103/text.txt
12639338,2,False,True,incomplete,v3,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Philosophical transactions of the Royal Society of London. Series B, Biological sciences/12639338.html"
15491269,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of personality and social psychology/15491269.html
16989551,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of cognitive neuroscience/16989551.html
17583991,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of cognitive neuroscience/17583991.html
20056024,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/20056024.html
23373319,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Nihon shinkei seishin yakurigaku zasshi = Japanese journal of psychopharmacology/23373319.html
25277690,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Psychopathology/25277690.html
26011577,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/26011577.html
26516171,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/26516171.html
30019703,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Acta neurobiologiae experimentalis/30019703.html
30698656,2,False,True,incomplete,v3;v3-allstudies,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/30698656.html
30794869,2,False,True,incomplete,v3-allstudies,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/30794869.html
31919530,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/31919530.html
15590616,2,False,True,unavailable,v3,
18234518,2,False,True,unavailable,v3-allstudies,
19620107,2,False,True,unavailable,v3,
19739909,2,False,True,unavailable,v3;v3-allstudies,
24093627,2,False,True,unavailable,v3,
28151495,2,False,True,unavailable,v3,
17280517,3,False,False,unavailable,v3,
