stage,metric,value,ci_lower,ci_upper
search,true_positives,226,,
search,false_negatives,12,,
search,false_positives,798,,
search,recall,0.9495798319327731,0.9139509618018755,0.9709257508894065
search,precision,0.220703125,0.19637139978658907,0.2471226171903459
abstract,true_positives,224,,
abstract,false_negatives,2,,
abstract,false_positives,485,,
abstract,recall_in_search,0.9911504424778761,0.9683127716781466,0.997569818766751
abstract,recall_all_meta,0.9411764705882353,0.9036964282203435,0.9646405328318493
abstract,precision,0.3159379407616361,0.2827876713124451,0.35107208098035037
fulltext,true_positives,207,,
fulltext,false_negatives,2,,
fulltext,false_positives,303,,
fulltext,additional_false_negatives,2,,
fulltext,missing_full_text,1,,
fulltext,incomplete_full_text,14,,
fulltext,false_negatives_all_texts,19,,
fulltext,false_negatives_fulltext_only,2,,
fulltext,omitted_incomplete_fulltext,14,,
fulltext,recall_in_search,0.9904306220095693,0.9657857265177282,0.9973718517000637
fulltext,recall_fulltext_only,0.9904306220095693,0.9657857265177282,0.9973718517000637
fulltext,absolute_recall_all_texts,0.915929203539823,0.8724346746238731,0.9455199515186528
fulltext,recall_all_meta,0.8697478991596639,0.821048993500283,0.9067000786196501
fulltext,precision,0.40588235294117647,0.36412038729098545,0.44905160968240093
fulltext,precision_fulltext_only,0.40588235294117647,0.36412038729098545,0.44905160968240093
fulltext_with_coords,true_positives,142,,
fulltext_with_coords,false_negatives,67,,
fulltext_with_coords,false_positives,166,,
fulltext_with_coords,omitted_incomplete_fulltext,14,,
fulltext_with_coords,recall_in_search,0.6794258373205742,0.6134044235065447,0.738970300231672
fulltext_with_coords,recall_all_meta,0.5966386554621849,0.533255350924207,0.6569517929253209
fulltext_with_coords,precision,0.461038961038961,0.4061899165596708,0.5168479334257065
