pmid,type,source,full_text_path,in_included_set
10943684,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Neuroreport/10943684.html,True
11496124,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/11496124.html,True
15701234,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/15701234.html,True
17055981,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/17055981.html,True
17536964,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of cognitive neuroscience/17536964.html,True
17986835,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Neuropsychobiology/17986835.html,True
18313858,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/18313858.html,True
18370602,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/18370602.html,True
21164174,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Psychological science/21164174.html,True
21606658,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/21606658.html,True
21775952,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of visualized experiments : JoVE/21775952.html,True
21864459,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/21864459.html,True
24051621,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Neuropsychobiology/24051621.html,True
24341069,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Seishin shinkeigaku zasshi = Psychiatria et neurologia Japonica/24341069.html,True
25088911,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/25088911.html,True
25571093,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference/25571093.html,True
25893437,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Cognitive neuroscience/25893437.html,True
26162239,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/26162239.html,True
26737187,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference/26737187.html,True
27109357,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/27109357.html,True
27165762,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/27165762.html,True
27167401,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/27167401.html,True
27340019,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Neurologia/27340019.html,True
27856343,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/27856343.html,True
29760183,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/29760183.html,True
29771359,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/29771359.html,True
30154703,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/30154703.html,True
30658938,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/30658938.html,True
30698656,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/30698656.html,True
30794869,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/30794869.html,True
30825583,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/30825583.html,True
11352615,unavailable,pubget,,True
12202103,unavailable,pubget,,True
18234518,unavailable,pubget,,True
19739909,unavailable,pubget,,True
