pmid,table_id,table_label,x,y,z,p_value,region,size,statistic,groups
15528097,1,Table 2.,17.0,18.0,19.0,,,-89,-2,
15528097,1,Table 2.,6.0,8.0,9.0,,5.52,50,-8,
15528097,2,Table 3.,17.0,18.0,19.0,,-77,1021,4.37,
15528097,2,Table 3.,8.0,9.0,10.0,,36,429,4.35,
20350171,4,Table 1,-32.0,-34.0,-22.0,,Fusiform gyrus (anterior),a,7.8,First (P1–Cp1)
20350171,4,Table 1,-32.0,-32.0,-14.0,,Fusiform gyrus (anterior),b,5.07,Second (P2–Cp2)
20350171,4,Table 1,-26.0,-34.0,-14.0,,Fusiform gyrus (anterior),a,7.39,First (P1–Cp1)
20350171,4,Table 1,-32.0,-32.0,-14.0,,Fusiform gyrus (anterior),b,5.07,Second (P2–Cp2)
20350171,4,Table 1,38.0,-30.0,-18.0,,Fusiform gyrus (anterior),a,9.58,First (P1–Cp1)
20350171,4,Table 1,-32.0,-32.0,-14.0,,Fusiform gyrus (anterior),b,5.07,Second (P2–Cp2)
20350171,4,Table 1,-26.0,-18.0,-20.0,,Parahippocampal gyrus,a,7.35,First (P1–Cp1)
20350171,4,Table 1,-28.0,-20.0,-22.0,,Parahippocampal gyrus,210b,7.06,Second (P2–Cp2)
20350171,4,Table 1,32.0,-16.0,-22.0,,Parahippocampal gyrus,31622a,10.93,First (P1–Cp1)
20350171,4,Table 1,-28.0,-20.0,-22.0,,Parahippocampal gyrus,210b,7.06,Second (P2–Cp2)
20350171,4,Table 1,-18.0,-8.0,-22.0,,Amygdala,a,6.91,First (P1–Cp1)
20350171,4,Table 1,-28.0,14.0,-24.0,,Temporal pole/orbitotemporoinsular junction,a,9.4,First (P1–Cp1)
20350171,4,Table 1,-24.0,10.0,-24.0,,Temporal pole/orbitotemporoinsular junction,365c,6.6,Second (P2–Cp2)
20350171,4,Table 1,28.0,18.0,-26.0,,Temporal pole/orbitotemporoinsular junction,a,9.41,First (P1–Cp1)
20350171,4,Table 1,26.0,18.0,-22.0,,Temporal pole/orbitotemporoinsular junction,1382d,6.51,Second (P2–Cp2)
20350171,4,Table 1,-62.0,-8.0,-18.0,,Middle temporal gyrus (anterior),a,8.68,First (P1–Cp1)
20350171,4,Table 1,58.0,-2.0,-22.0,,Middle temporal gyrus (anterior),a,9.02,First (P1–Cp1)
20350171,4,Table 1,60.0,-4.0,-24.0,,Middle temporal gyrus (anterior),d,5.47,Second (P2–Cp2)
20350171,4,Table 1,-54.0,-54.0,-8.0,,Inferior temporal gyrus (posterior),a,7.08,First (P1–Cp1)
20350171,4,Table 1,48.0,-50.0,-22.0,,Inferior temporal gyrus (posterior),a,6.09,First (P1–Cp1)
20350171,4,Table 1,62.0,-40.0,-8.0,,Middle temporal gyrus (posterior),a,6.66,First (P1–Cp1)
20350171,4,Table 1,-48.0,-56.0,18.0,,STS (posterior),b,9.83,First (P1–Cp1)
20350171,4,Table 1,-44.0,-56.0,18.0,,STS (posterior),214,4.91,Second (P2–Cp2)
20350171,4,Table 1,56.0,-52.0,14.0,,STS (posterior),a,7.06,First (P1–Cp1)
20350171,4,Table 1,-44.0,-56.0,18.0,,STS (posterior),214,4.91,Second (P2–Cp2)
20350171,4,Table 1,-52.0,-62.0,26.0,,TPJ,3033b,9.87,First (P1–Cp1)
20350171,4,Table 1,48.0,-64.0,18.0,,TPJ,a,6.77,First (P1–Cp1)
20350171,4,Table 1,48.0,-68.0,26.0,,TPJ,e,4.71,Second (P2–Cp2)
20350171,4,Table 1,-32.0,-76.0,42.0,,Occipito-TPJ,b,8.12,First (P1–Cp1)
20350171,4,Table 1,-34.0,-76.0,30.0,,Occipito-TPJ,241,5.04,Second (P2–Cp2)
20350171,4,Table 1,30.0,-78.0,40.0,,Occipito-TPJ,124,5.01,First (P1–Cp1)
20350171,4,Table 1,32.0,-74.0,40.0,,Occipito-TPJ,907e,6.23,Second (P2–Cp2)
20350171,4,Table 1,38.0,-46.0,48.0,,Intraparietal sulcus,e,5.8,Second (P2–Cp2)
20350171,4,Table 1,-8.0,-58.0,16.0,,Occipito-parietal sulcus,a,8.86,First (P1–Cp1)
20350171,4,Table 1,-8.0,-68.0,26.0,,Occipito-parietal sulcus,a,7.07,First (P1–Cp1)
20350171,4,Table 1,12.0,-54.0,20.0,,Occipito-parietal sulcus,a,8.13,First (P1–Cp1)
20350171,4,Table 1,10.0,-62.0,30.0,,Occipito-parietal sulcus,a,5.47,Second (P2–Cp2)
20350171,4,Table 1,4.0,-52.0,14.0,,Occipito-parietal sulcus,a,8.32,First (P1–Cp1)
20350171,4,Table 1,10.0,-54.0,10.0,,Occipito-parietal sulcus,a,4.66,Second (P2–Cp2)
20350171,4,Table 1,12.0,-58.0,40.0,,Precuneus,a,6.62,First (P1–Cp1)
20350171,4,Table 1,6.0,-64.0,36.0,,Precuneus,a,5.37,Second (P2–Cp2)
20350171,4,Table 1,-2.0,-42.0,40.0,,Posterior cingulate cortex (posterodorsal),a,10.09,First (P1–Cp1)
20350171,4,Table 1,6.0,-44.0,28.0,,Posterior cingulate cortex (posterodorsal),a,8.03,First (P1–Cp1)
20350171,4,Table 1,4.0,-42.0,30.0,,Posterior cingulate cortex (posterodorsal),a,6.03,Second (P2–Cp2)
20350171,4,Table 1,-4.0,-18.0,34.0,,Callosal sulcus (posterior),a,7.9,First (P1–Cp1)
20350171,4,Table 1,0.0,-26.0,36.0,,Callosal sulcus (posterior),a,6.21,Second (P2–Cp2)
20350171,4,Table 1,-2.0,6.0,32.0,,Callosal sulcus (middle),a,5.8,First (P1–Cp1)
20350171,4,Table 1,4.0,2.0,30.0,,Callosal sulcus (middle),a,5.54,Second (P2–Cp2)
20350171,4,Table 1,-2.0,22.0,20.0,,Callosal sulcus (anterior),a,6.04,First (P1–Cp1)
20350171,4,Table 1,-4.0,50.0,34.0,,Medial frontal gyrus (anterodorsal),a,8.22,First (P1–Cp1)
20350171,4,Table 1,-6.0,56.0,22.0,,Medial frontal gyrus (anterodorsal),a,7.81,First (P1–Cp1)
20350171,4,Table 1,2.0,56.0,24.0,,Medial frontal gyrus (anterodorsal),a,5.51,Second (P2–Cp2)
20350171,4,Table 1,-6.0,56.0,22.0,,Medial frontal gyrus (anterodorsal),a,7.81,First (P1–Cp1)
20350171,4,Table 1,6.0,58.0,4.0,,Medial frontal gyrus (anterodorsal),a,6.72,Second (P2–Cp2)
20350171,4,Table 1,-6.0,54.0,-16.0,,Medial frontal gyrus (anteroventral),a,8.89,First (P1–Cp1)
20350171,4,Table 1,0.0,42.0,-20.0,,Medial frontal gyrus (anteroventral),a,5.36,Second (P2–Cp2)
20350171,4,Table 1,0.0,34.0,-18.0,,Medial frontal gyrus (rostral),a,5.6,Second (P2–Cp2)
20350171,4,Table 1,-6.0,36.0,-2.0,,ACC (rostral),a,10.59,First (P1–Cp1)
20350171,4,Table 1,0.0,36.0,-10.0,,ACC (rostral),a,5.41,Second (P2–Cp2)
20350171,4,Table 1,-6.0,42.0,6.0,,ACC (polar),a,9.19,First (P1–Cp1)
20350171,4,Table 1,-6.0,46.0,8.0,,ACC (polar),7692a,9.85,Second (P2–Cp2)
20350171,4,Table 1,-8.0,44.0,18.0,,ACC (polar),a,9.71,First (P1–Cp1)
20350171,4,Table 1,-6.0,48.0,22.0,,ACC (polar),a,5.33,Second (P2–Cp2)
20350171,4,Table 1,-22.0,38.0,42.0,,Superior frontal gyrus,a,6.78,First (P1–Cp1)
20350171,4,Table 1,-20.0,48.0,42.0,,Superior frontal gyrus,a,5.69,Second (P2–Cp2)
20350171,4,Table 1,-22.0,38.0,42.0,,Superior frontal gyrus,a,6.78,First (P1–Cp1)
20350171,4,Table 1,24.0,40.0,36.0,,Superior frontal gyrus,a,5.3,Second (P2–Cp2)
20350171,4,Table 1,-42.0,10.0,46.0,,Middle frontal gyrus,c,5.98,First (P1–Cp1)
20350171,4,Table 1,-54.0,28.0,-6.0,,Inferior frontal gyrus (pars orbitalis),a,5.72,First (P1–Cp1)
20350171,4,Table 1,-44.0,14.0,26.0,,Inferior frontal gyrus (pars triangularis),876c,7.87,First (P1–Cp1)
20350171,4,Table 1,-52.0,32.0,6.0,,Inferior frontal gyrus (pars triangularis),c,4.4,First (P1–Cp1)
20350171,4,Table 1,-52.0,32.0,8.0,,Inferior frontal gyrus (pars triangularis),137g,4.44,Second (P2–Cp2)
20350171,4,Table 1,-50.0,38.0,0.0,,Inferior frontal gyrus (pars triangularis),c,4.08,First (P1–Cp1)
20350171,4,Table 1,-48.0,32.0,0.0,,Inferior frontal gyrus (pars triangularis),g,3.98,Second (P2–Cp2)
20350171,4,Table 1,54.0,26.0,8.0,,Inferior frontal gyrus (pars triangularis),a,9.06,First (P1–Cp1)
20350171,4,Table 1,42.0,8.0,18.0,,Inferior frontal gyrus (pars triangularis),d,4.4,First (P1–Cp1)
20350171,4,Table 1,46.0,14.0,18.0,,Inferior frontal gyrus (pars triangularis),227,5.29,Second (P2–Cp2)
20350171,4,Table 1,42.0,8.0,18.0,,Inferior frontal gyrus (pars triangularis),d,4.4,First (P1–Cp1)
20350171,4,Table 1,50.0,42.0,8.0,,Inferior frontal gyrus (pars triangularis),d,4.88,Second (P2–Cp2)
20350171,4,Table 1,38.0,12.0,34.0,,Inferior frontal sulcus,294d,4.99,First (P1–Cp1)
20350171,4,Table 1,40.0,10.0,32.0,,Inferior frontal sulcus,232,5.98,Second (P2–Cp2)
20350171,4,Table 1,-6.0,2.0,-8.0,,Ventral striatum,a,7.35,First (P1–Cp1)
20350171,4,Table 1,-4.0,-10.0,4.0,,Thalamus,a,10.32,First (P1–Cp1)
20350171,4,Table 1,6.0,-26.0,0.0,,Thalamus,572f,6.16,Second (P2–Cp2)
20350171,4,Table 1,6.0,-24.0,-14.0,,Midbrain,a,7.96,First (P1–Cp1)
20350171,4,Table 1,10.0,-26.0,-12.0,,Midbrain,f,4.48,Second (P2–Cp2)
20350171,5,Table 2,-14.0,38.0,48.0,,Superior frontal gyrus,184,5.75,
20350171,5,Table 2,-50.0,20.0,-4.0,,Inferior frontal gyrus (pars orbitalis),566a,6.16,
20350171,5,Table 2,-48.0,30.0,8.0,,Inferior frontal gyrus (pars triangularis),a,5.41,
20350171,5,Table 2,-44.0,16.0,14.0,,Inferior frontal gyrus (pars triangularis),a,3.66,
20350171,5,Table 2,-4.0,-12.0,36.0,,Callosal sulcus (posterior),b,4.84,
20350171,5,Table 2,0.0,2.0,28.0,,Callosal sulcus (middle),392b,5.3,
20350171,5,Table 2,4.0,24.0,16.0,,Callosal sulcus (anterior),b,4.55,
20350171,5,Table 2,4.0,-36.0,36.0,,Posterior cingulate cortex (posterodorsal),b,4.64,
20350171,6,Table 3,-30.0,-24.0,-26.0,,Fusiform gyrus (anterior),1192b,8.72,First (P1–F1)
20350171,6,Table 3,-28.0,-36.0,-16.0,,Fusiform gyrus (anterior),b,7.82,First (P1–F1)
20350171,6,Table 3,32.0,-32.0,-18.0,,Fusiform gyrus (anterior),c,5.98,First (P1–F1)
20350171,6,Table 3,-28.0,-18.0,-28.0,,Parahippocampal gyrus,b,7.34,First (P1–F1)
20350171,6,Table 3,22.0,-30.0,-18.0,,Parahippocampal gyrus,c,7.72,First (P1–F1)
