pmid,type,source,full_text_path,in_included_set
11037096,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Psychological medicine/11037096.html,True
11352615,incomplete,/home/zorro/repos/autonima-results/articles/elsevier_output/,/home/zorro/repos/autonima-results/articles/elsevier_output/11352615/text.txt,True
12202103,incomplete,/home/zorro/repos/autonima-results/articles/elsevier_output/,/home/zorro/repos/autonima-results/articles/elsevier_output/12202103/text.txt,True
12639338,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Philosophical transactions of the Royal Society of London. Series B, Biological sciences/12639338.html",True
15491269,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of personality and social psychology/15491269.html,True
16989551,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of cognitive neuroscience/16989551.html,True
17583991,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of cognitive neuroscience/17583991.html,True
20056024,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/20056024.html,True
23373319,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Nihon shinkei seishin yakurigaku zasshi = Japanese journal of psychopharmacology/23373319.html,True
25277690,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Psychopathology/25277690.html,True
26011577,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/26011577.html,True
26516171,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/26516171.html,True
29760183,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/29760183.html,True
29771359,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/29771359.html,True
30019703,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Acta neurobiologiae experimentalis/30019703.html,True
30698656,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/30698656.html,True
31919530,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs/,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/31919530.html,True
15590616,unavailable,pubget,,True
17280517,unavailable,pubget,,False
19620107,unavailable,pubget,,True
19739909,unavailable,pubget,,True
24093627,unavailable,pubget,,True
28151495,unavailable,pubget,,True
