stage,metric,value,ci_lower,ci_upper
search,true_positives,230,,
search,false_negatives,8,,
search,false_positives,0,,
search,recall,0.9663865546218487,0.9350850222079834,0.9828711937614776
search,precision,1.0,0.9835717853452937,1
abstract,true_positives,0,,
abstract,false_negatives,230,,
abstract,false_positives,0,,
abstract,recall_in_search,0.0,0,0.01642821465470643
abstract,recall_all_meta,0.0,0,0.015884777474181447
abstract,precision,0,0.0,0.0
fulltext,true_positives,0,,
fulltext,false_negatives,0,,
fulltext,false_positives,0,,
fulltext,additional_false_negatives,0,,
fulltext,missing_full_text,1,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,230,,
fulltext,false_negatives_fulltext_only,0,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0,0.0,0.0
fulltext,recall_fulltext_only,0,0.0,0.0
fulltext,absolute_recall_all_texts,0.0,0,0.01642821465470643
fulltext,recall_all_meta,0.0,0,0.015884777474181447
fulltext,precision,0,0.0,0.0
fulltext,precision_fulltext_only,0,0.0,0.0
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,0,,
fulltext_with_coords,false_positives,154,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0,0.0,0.0
fulltext_with_coords,recall_all_meta,0.0,0,0.015884777474181447
fulltext_with_coords,precision,0.0,0,0.024338323990633647
