pmid,table_id,table_label,table_caption,table_foot,n_header_rows,table_raw_file
15528097,1,Table 2.,Brain activation in guilt condition and embarrassment condition relative to neutral condition,,1,tables/15528097/1.html
15528097,2,Table 3.,Brain regions commonly activated by guilt and embarrassment conditions,,1,tables/15528097/2.html
15528097,3,Table 4.,Comparisons between regional brain activities associated with guilt and embarrassment,,1,tables/15528097/3.html
20350171,4,Table 1,,,1,tables/20350171/4.html
20350171,5,Table 2,,,1,tables/20350171/5.html
20350171,6,Table 3,,,1,tables/20350171/6.html
22360624,7,Table 1,,,1,tables/22360624/7.html
22360624,8,Table 2,,,1,tables/22360624/8.html
23574585,9,Table 1,,,1,tables/23574585/9.html
23574585,10,Table 2,,,1,tables/23574585/10.html
23574585,11,Table 3,,,1,tables/23574585/11.html
24666131,12,Table 1,,,1,tables/24666131/12.html
26567160,13,Table 1,Regions of increased activation in the control of social attitudes,,1,tables/26567160/13.html
26567160,14,Table 2,Differences in the control of trust versus distrust,,1,tables/26567160/14.html
26567160,15,Table 3,Individual differences in the control of interpersonal social attitudes,,1,tables/26567160/15.html
26567160,16,Table 4,Functional connectivity analysis,,1,tables/26567160/16.html
30077577,17,Table 2,. Results for the contrast self-relevant>control.,,1,tables/30077577/17.html
30077577,18,Table 3,. Results for the contrast other>control.,,1,tables/30077577/18.html
