run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v1,nonptsdgtptsd_merged,decreased_gm,8,7,True
v1-annotation-only,nonptsdgtptsd_merged,decreased_gm,8,7,True
v1-recent,nonptsdgtptsd_merged,decreased_gm,9,8,True
v1,,all_abstract,63,16,False
v1-annotation-only,,all_abstract,43,10,False
v1-recent,,all_abstract,76,24,False
v1,,all_analyses,57,12,False
v1-annotation-only,,all_analyses,43,10,False
v1-recent,,all_analyses,62,14,False
v1,,all_studies,82,30,False
v1-annotation-only,,all_studies,43,10,False
v1-recent,,all_studies,108,44,False
