Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-4.0	50.0	8.0	3.194466029541952	3088
PositiveTail 1a	-10.0	54.0	4.0	2.3633989705222014	
PositiveTail 1b	-2.0	42.0	4.0	2.3633989705222014	
PositiveTail 1c	0.0	50.0	6.0	2.3633989705222014	
PositiveTail 2	-40.0	24.0	-20.0	1.6869521334365891	512
PositiveTail 3	-20.0	-8.0	-26.0	1.6869521334365891	2520
PositiveTail 4	-12.0	2.0	-12.0	1.6869521334365891	432
PositiveTail 5	-2.0	-70.0	32.0	1.6869521334365891	352
PositiveTail 6	4.0	54.0	30.0	1.6869521334365891	480
PositiveTail 7	14.0	8.0	-12.0	1.6869521334365891	1248
PositiveTail 8	40.0	-2.0	-8.0	1.6869521334365891	544
