stage,metric,value,ci_lower,ci_upper
search,true_positives,18,,
search,false_negatives,4,,
search,false_positives,55,,
search,recall,0.8181818181818182,0.6148297802336213,0.9269323397589488
search,precision,0.2465753424657534,0.16204336317654705,0.35644662141513245
abstract,true_positives,18,,
abstract,false_negatives,0,,
abstract,false_positives,34,,
abstract,recall_in_search,1.0,0.8241154494176252,1
abstract,recall_all_meta,0.8181818181818182,0.6148297802336213,0.9269323397589488
abstract,precision,0.34615384615384615,0.23150828073938617,0.4819669778491929
fulltext,true_positives,16,,
fulltext,false_negatives,1,,
fulltext,false_positives,11,,
fulltext,additional_false_negatives,1,,
fulltext,missing_full_text,1,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,2,,
fulltext,false_negatives_fulltext_only,1,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9411764705882353,0.730174547964372,0.9895398693548358
fulltext,recall_fulltext_only,0.9411764705882353,0.730174547964372,0.9895398693548358
fulltext,absolute_recall_all_texts,0.8888888888888888,0.6719975513339578,0.9689811315464172
fulltext,recall_all_meta,0.7272727272727273,0.5184787630099802,0.8684941798418556
fulltext,precision,0.5925925925925926,0.4072638305536409,0.7548548662714265
fulltext,precision_fulltext_only,0.5925925925925926,0.4072638305536409,0.7548548662714265
fulltext_with_coords,true_positives,7,,
fulltext_with_coords,false_negatives,10,,
fulltext_with_coords,false_positives,2,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.4117647058823529,0.21610786039131386,0.6399492561448445
fulltext_with_coords,recall_all_meta,0.3181818181818182,0.1636038735469248,0.5268177721716065
fulltext_with_coords,precision,0.7777777777777778,0.4525833436728054,0.9367762376877727
