pmid,type,source,full_text_path,in_included_set
11263683,incomplete,/home/zorro/repos/autonima-results/projects/vbm_of_substance_abuse/ace_outputs,/home/zorro/repos/autonima-results/projects/vbm_of_substance_abuse/ace_outputs/html/Developmental medicine and child neurology/11263683.html,True
12498754,incomplete,/home/zorro/repos/autonima-results/articles/elsevier_output/,/home/zorro/repos/autonima-results/articles/elsevier_output/12498754/text.txt,True
14506401,incomplete,/home/zorro/repos/autonima-results/projects/vbm_of_substance_abuse/ace_outputs,"/home/zorro/repos/autonima-results/projects/vbm_of_substance_abuse/ace_outputs/html/Alcoholism, clinical and experimental research/14506401.html",True
18187528,incomplete,/home/zorro/repos/autonima-results/projects/vbm_of_substance_abuse/ace_outputs,"/home/zorro/repos/autonima-results/projects/vbm_of_substance_abuse/ace_outputs/html/Journal of psychopharmacology (Oxford, England)/18187528.html",True
12122034,unavailable,pubget,,True
12697627,unavailable,pubget,,False
14643906,unavailable,pubget,,False
15088641,unavailable,pubget,,False
1538244,unavailable,pubget,,False
18298708,unavailable,pubget,,False
2046377,unavailable,pubget,,False
20501286,unavailable,pubget,,False
22496536,unavailable,pubget,,False
22618586,unavailable,pubget,,False
22868938,unavailable,pubget,,False
22894053,unavailable,pubget,,False
23027680,unavailable,pubget,,True
23072363,unavailable,pubget,,True
23184398,unavailable,pubget,,False
23190458,unavailable,pubget,,True
23207549,unavailable,pubget,,False
23300102,unavailable,pubget,,False
23311613,unavailable,pubget,,True
23364872,unavailable,pubget,,True
23469861,unavailable,pubget,,True
23523373,unavailable,pubget,,False
23541231,unavailable,pubget,,True
23604786,unavailable,pubget,,False
23794136,unavailable,pubget,,False
23820984,unavailable,pubget,,False
23838052,unavailable,pubget,,True
23927455,unavailable,pubget,,True
24116715,unavailable,pubget,,False
24147643,unavailable,pubget,,True
24256621,unavailable,pubget,,True
24448535,unavailable,pubget,,False
24483366,unavailable,pubget,,True
24577471,unavailable,pubget,,False
24588360,unavailable,pubget,,False
24738841,unavailable,pubget,,True
24754423,unavailable,pubget,,False
24828276,unavailable,pubget,,False
24850422,unavailable,pubget,,True
2496519,unavailable,pubget,,False
25371045,unavailable,pubget,,False
2562717,unavailable,pubget,,False
25708696,unavailable,pubget,,True
25727574,unavailable,pubget,,True
25971784,unavailable,pubget,,False
25988724,unavailable,pubget,,True
26021304,unavailable,pubget,,True
26083394,unavailable,pubget,,False
26125488,unavailable,pubget,,False
26138313,unavailable,pubget,,False
26268999,unavailable,pubget,,False
26303184,unavailable,pubget,,True
26329431,unavailable,pubget,,False
26370660,unavailable,pubget,,False
26404024,unavailable,pubget,,True
26435383,unavailable,pubget,,False
26456965,unavailable,pubget,,False
26686587,unavailable,pubget,,False
26771165,unavailable,pubget,,False
26786150,unavailable,pubget,,True
26916241,unavailable,pubget,,False
27079174,unavailable,pubget,,False
27397847,unavailable,pubget,,False
27782768,unavailable,pubget,,True
27865039,unavailable,pubget,,True
28098946,unavailable,pubget,,True
28231635,unavailable,pubget,,False
28248041,unavailable,pubget,,False
28498718,unavailable,pubget,,False
28971228,unavailable,pubget,,True
29058369,unavailable,pubget,,True
29188399,unavailable,pubget,,False
29309532,unavailable,pubget,,False
29582514,unavailable,pubget,,True
29629981,unavailable,pubget,,True
29847018,unavailable,pubget,,True
29948904,unavailable,pubget,,False
30154290,unavailable,pubget,,True
30214041,unavailable,pubget,,False
30517224,unavailable,pubget,,False
30525907,unavailable,pubget,,False
30593008,unavailable,pubget,,False
30758665,unavailable,pubget,,False
30811097,unavailable,pubget,,False
30892463,unavailable,pubget,,False
30963660,unavailable,pubget,,True
31262704,unavailable,pubget,,False
3202480,unavailable,pubget,,False
3417223,unavailable,pubget,,False
3426723,unavailable,pubget,,False
3576665,unavailable,pubget,,False
3930674,unavailable,pubget,,False
3931344,unavailable,pubget,,False
4004565,unavailable,pubget,,False
6239501,unavailable,pubget,,False
6813552,unavailable,pubget,,False
7075067,unavailable,pubget,,False
7589838,unavailable,pubget,,False
7682739,unavailable,pubget,,False
7688966,unavailable,pubget,,False
7758982,unavailable,pubget,,False
7771636,unavailable,pubget,,True
7945568,unavailable,pubget,,False
8043972,unavailable,pubget,,False
8303869,unavailable,pubget,,False
8561288,unavailable,pubget,,True
8659252,unavailable,pubget,,False
8805004,unavailable,pubget,,False
8959039,unavailable,pubget,,False
8974342,unavailable,pubget,,False
9022744,unavailable,pubget,,False
9065532,unavailable,pubget,,False
9138671,unavailable,pubget,,False
9161613,unavailable,pubget,,True
9214201,unavailable,pubget,,False
922815,unavailable,pubget,,False
9269854,unavailable,pubget,,False
9542891,unavailable,pubget,,False
9783561,unavailable,pubget,,True
9949786,unavailable,pubget,,False
