pmid,type,source,full_text_path,in_included_set
10385358,unavailable,pubget,,True
11571547,unavailable,pubget,,True
15824844,unavailable,pubget,,True
16263784,unavailable,pubget,,True
16410656,unavailable,pubget,,True
16534696,unavailable,pubget,,True
16717205,unavailable,pubget,,True
17077132,unavailable,pubget,,True
17226109,unavailable,pubget,,True
18245408,unavailable,pubget,,True
18449921,unavailable,pubget,,True
19653814,unavailable,pubget,,True
19734455,unavailable,pubget,,True
19884612,unavailable,pubget,,True
20200932,unavailable,pubget,,True
22070867,unavailable,pubget,,True
22212839,unavailable,pubget,,True
22334058,unavailable,pubget,,True
22547821,unavailable,pubget,,True
22907274,unavailable,pubget,,True
23175518,unavailable,pubget,,True
23364872,unavailable,pubget,,True
23440433,unavailable,pubget,,True
23658040,unavailable,pubget,,True
25672482,unavailable,pubget,,True
2575290,unavailable,pubget,,True
25906240,unavailable,pubget,,True
26264353,unavailable,pubget,,True
26308966,unavailable,pubget,,True
26497546,unavailable,pubget,,True
27053210,unavailable,pubget,,True
27243136,unavailable,pubget,,True
27651527,unavailable,pubget,,True
27883214,unavailable,pubget,,True
28550245,unavailable,pubget,,True
29275596,unavailable,pubget,,True
29532745,unavailable,pubget,,True
30107610,unavailable,pubget,,True
30204241,unavailable,pubget,,True
30831615,unavailable,pubget,,True
31262704,unavailable,pubget,,True
31365137,unavailable,pubget,,True
7113194,unavailable,pubget,,True
