project,manual_annotation,arm,autonima_run,auto_column,broad_arm,dice,pearson_r,r2,studies,points,voxels
vbm_of_substance_use,all_drug_classes,autonima,v2,all_drug_classes,all_drug_classes:all_analyses,0.107,0.6664,0.4441,56,618,228483
vbm_of_substance_use,all_drug_classes,baseline_sub,v2,all_drug_classes,all_drug_classes:all_analyses,0.0309,0.6037,0.3644,184,3266,228483
vbm_of_substance_use,all_drug_classes,baseline_broad,v2,all_drug_classes,all_drug_classes:all_analyses,0.0309,0.6037,0.3644,184,3266,228483
vbm_of_substance_use,alcohol,autonima,v2,alcohol,all_drug_classes:all_analyses,0.3935,0.7038,0.4953,16,229,228483
vbm_of_substance_use,alcohol,baseline_sub,v2,alcohol,all_drug_classes:all_analyses,0.2174,0.5407,0.2923,60,1168,228483
vbm_of_substance_use,alcohol,baseline_broad,v2,alcohol,all_drug_classes:all_analyses,0.052,0.4306,0.1854,184,3266,228483
vbm_of_substance_use,nicotine,autonima,v2,nicotine,all_drug_classes:all_analyses,0.0,0.5501,0.3026,12,167,228483
vbm_of_substance_use,nicotine,baseline_sub,v2,nicotine,all_drug_classes:all_analyses,0.0,0.3321,0.1103,48,977,228483
vbm_of_substance_use,nicotine,baseline_broad,v2,nicotine,all_drug_classes:all_analyses,0.0,0.2464,0.0607,184,3266,228483
vbm_of_substance_use,opioids,autonima,v2,opioids,all_drug_classes:all_analyses,0.0,0.5813,0.3379,8,61,228483
vbm_of_substance_use,opioids,baseline_sub,v2,opioids,all_drug_classes:all_analyses,0.0,0.3542,0.1254,15,188,228483
vbm_of_substance_use,opioids,baseline_broad,v2,opioids,all_drug_classes:all_analyses,0.0,0.2697,0.0727,184,3266,228483
vbm_of_substance_use,stimulants,autonima,v2,stimulants,all_drug_classes:all_analyses,0.0,0.7354,0.5408,16,106,228483
vbm_of_substance_use,stimulants,baseline_sub,v2,stimulants,all_drug_classes:all_analyses,0.0,0.397,0.1576,48,759,228483
vbm_of_substance_use,stimulants,baseline_broad,v2,stimulants,all_drug_classes:all_analyses,0.0,0.3794,0.1439,184,3266,228483
vbm_of_substance_use,cannabis,autonima,v2,cannabis,all_drug_classes:all_analyses,0.0,0.4609,0.2125,4,27,228483
vbm_of_substance_use,cannabis,baseline_sub,v2,cannabis,all_drug_classes:all_analyses,0.0,0.2102,0.0442,19,255,228483
vbm_of_substance_use,cannabis,baseline_broad,v2,cannabis,all_drug_classes:all_analyses,0.0,0.2111,0.0445,184,3266,228483
