run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v1,all_drug_classes,all_drug_classes,84,54,True
v2,all_drug_classes,all_drug_classes,86,55,True
v2-annotation-only-gpt,all_drug_classes,all_drug_classes,89,51,True
v2-recent,all_drug_classes,all_drug_classes,101,68,True
v1,alcohol,alcohol,24,16,True
v2,alcohol,alcohol,24,16,True
v2-annotation-only-gpt,alcohol,alcohol,24,16,True
v2-recent,alcohol,alcohol,35,23,True
v1,nicotine,nicotine,20,12,True
v2,nicotine,nicotine,22,12,True
v2-annotation-only-gpt,nicotine,nicotine,31,13,True
v2-recent,nicotine,nicotine,19,11,True
v1,opioids,opioids,9,7,True
v2,opioids,opioids,9,7,True
v2-annotation-only-gpt,opioids,opioids,8,6,True
v2-recent,opioids,opioids,11,9,True
v1,stimulants,stimulants,21,14,True
v2,stimulants,stimulants,21,15,True
v2-annotation-only-gpt,stimulants,stimulants,22,14,True
v2-recent,stimulants,stimulants,25,19,True
v1,cannabis,cannabis,10,5,True
v2,cannabis,cannabis,8,4,True
v2-annotation-only-gpt,cannabis,cannabis,4,4,True
v2-recent,cannabis,cannabis,9,5,True
v1,,all_abstract,326,99,False
v2,,all_abstract,306,100,False
v2-annotation-only-gpt,,all_abstract,198,55,False
v2-recent,,all_abstract,416,129,False
v1,,all_analyses,300,79,False
v2,,all_analyses,279,81,False
v2-annotation-only-gpt,,all_analyses,197,54,False
v2-recent,,all_analyses,385,106,False
v1,,all_studies,427,157,False
v2,,all_studies,406,157,False
v2-annotation-only-gpt,,all_studies,202,58,False
v2-recent,,all_studies,573,225,False
