run,manual_name,auto_name,dice,pearson_r
v2,all_drug_classes,all_drug_classes,0.38311374025275613,0.663925042012064
v2-annotation-only,all_drug_classes,all_drug_classes,0.4493326742461691,0.7081180867854259
v2,alcohol,alcohol,0.47403807209396515,0.7275577022944666
v2-annotation-only,alcohol,alcohol,0.5625913845461703,0.7945067274198516
v2,nicotine,nicotine,0.27401111892133684,0.48585751748895
v2-annotation-only,nicotine,nicotine,0.3484946935239333,0.5665588314178971
v2,opioids,opioids,0.23828227284629483,0.6259217044151492
v2-annotation-only,opioids,opioids,0.23828227284629483,0.6259217044151492
v2,stimulants,stimulants,0.3973374295954941,0.7177691313897318
v2-annotation-only,stimulants,stimulants,0.43581900643392046,0.7381613360072753
v2,cannabis,cannabis,0.093255620316403,0.40388727392641854
v2-annotation-only,cannabis,cannabis,0.093255620316403,0.386801443802329
