id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
17047671-17047671_1	1	0	0	0	0	0	0	0
17088334-17088334_1	0	0	0	0	0	0	0	0
17951002-17951002_1	2	0	0	0	0	0	0	0
19707568-19707568_1	0	0	0	0	0	0	0	0
21599718-21599718_1	1	0	0	0	0	0	0	0
22270405-22270405_1	0	0	0	0	0	0	0	0
23072363-23072363_1	0	1	0	0	0	0	0	0
24086317-24086317_1	0	0	0	0	0	0	0	0
24179800-24179800_1	0	0	0	0	0	0	0	0
24179800-24179800_2	1	0	0	0	0	0	0	0
24496784-24496784_1	0	0	0	0	0	0	0	0
25123156-25123156_1	0	0	0	0	0	0	0	0
25988724-25988724_1	1	0	0	0	0	0	0	0
27575491-27575491_1	2	0	1	0	0	0	0	0
28720860-28720860_1	0	0	0	0	0	0	0	0
28992531-28992531_1	1	0	0	0	0	0	0	0
