Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	0.0	30.0	30.0	3.2731156185823327	4744
PositiveTail 1a	4.0	22.0	40.0	3.2731156185823327	
PositiveTail 1b	4.0	22.0	30.0	2.698041036040399	
PositiveTail 1c	0.0	20.0	46.0	2.698041036040399	
PositiveTail 2	-48.0	-10.0	50.0	2.698041036040399	928
PositiveTail 3	-48.0	6.0	30.0	2.698041036040399	536
PositiveTail 3a	-50.0	14.0	32.0	1.9840508434582351	
PositiveTail 4	-62.0	-18.0	8.0	1.9840508434582351	96
PositiveTail 5	-42.0	-16.0	6.0	1.9840508434582351	280
PositiveTail 6	-2.0	-26.0	46.0	1.9840508434582351	80
PositiveTail 7	4.0	38.0	18.0	1.9840508434582351	88
PositiveTail 8	42.0	-16.0	8.0	1.9840508434582351	504
