pmid,priority,is_gold,in_included_set,type,reported_by,existing_path
15982446,1,True,True,incomplete,v1;v2;v2-annotation-only,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/15982446.html
18187528,1,True,True,unavailable,v1;v2;v2-annotation-only,
11707642,2,False,True,incomplete,v2,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/11707642.html"
12122034,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/12122034.html
12498754,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/articles/elsevier_output/12498754/text.txt
14506401,2,False,True,incomplete,v1;v2,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/14506401.html"
23838052,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/23838052.html
26021304,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/26021304.html
30154290,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/30154290.html
7771636,2,False,True,incomplete,v1;v2,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/7771636.html"
9161613,2,False,True,incomplete,v1,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/9161613.html"
11263683,2,False,True,unavailable,v1;v2,
1877728,2,False,True,unavailable,v1;v2,
19860794,2,False,True,unavailable,v1;v2,
19884612,2,False,True,unavailable,v1;v2,
21410483,2,False,True,unavailable,v1;v2,
21451018,2,False,True,unavailable,v1;v2,
21646569,2,False,True,unavailable,v1;v2,
21919920,2,False,True,unavailable,v1;v2,
22907274,2,False,True,unavailable,v1;v2,
23364872,2,False,True,unavailable,v1;v2,
23541231,2,False,True,unavailable,v1;v2,
24700453,2,False,True,unavailable,v1;v2,
26264353,2,False,True,unavailable,v1;v2,
26343988,2,False,True,unavailable,v1;v2,
27452238,2,False,True,unavailable,v1;v2,
27856361,2,False,True,unavailable,v1;v2,
28334915,2,False,True,unavailable,v1;v2,
29482671,2,False,True,unavailable,v1;v2,
30379118,2,False,True,unavailable,v1;v2,
30980125,2,False,True,unavailable,v1;v2,
11779280,3,False,False,unavailable,v1;v2,
14662551,3,False,False,unavailable,v1;v2,
15456932,3,False,False,unavailable,v1;v2,
15997015,3,False,False,unavailable,v1;v2,
17033628,3,False,False,unavailable,v1;v2,
17077132,3,False,False,unavailable,v1;v2,
17443018,3,False,False,unavailable,v1;v2,
18055927,3,False,False,unavailable,v1;v2,
1953418,3,False,False,unavailable,v1;v2,
19643925,3,False,False,unavailable,v1;v2,
19653814,3,False,False,unavailable,v1;v2,
19891807,3,False,False,unavailable,v1;v2,
20647266,3,False,False,unavailable,v1;v2,
20814988,3,False,False,unavailable,v1;v2,
2088347,3,False,False,unavailable,v1;v2,
2106374,3,False,False,unavailable,v1;v2,
21557880,3,False,False,unavailable,v1;v2,
21576912,3,False,False,unavailable,v1;v2,
21799209,3,False,False,unavailable,v1;v2,
22070867,3,False,False,unavailable,v1;v2,
22076840,3,False,False,unavailable,v1;v2,
22150750,3,False,False,unavailable,v1;v2,
22212839,3,False,False,unavailable,v1;v2,
22277302,3,False,False,unavailable,v1;v2,
22360590,3,False,False,unavailable,v1;v2,
22566562,3,False,False,unavailable,v1;v2,
22581200,3,False,False,unavailable,v1;v2,
22693145,3,False,False,unavailable,v1;v2,
22746999,3,False,False,unavailable,v1;v2,
22850347,3,False,False,unavailable,v1;v2,
23240997,3,False,False,unavailable,v1;v2,
23265637,3,False,False,unavailable,v1;v2,
23328472,3,False,False,unavailable,v1;v2,
23642578,3,False,False,unavailable,v1;v2,
23851400,3,False,False,unavailable,v1;v2,
24048857,3,False,False,unavailable,v1;v2,
24246274,3,False,False,unavailable,v1;v2,
24442602,3,False,False,unavailable,v1;v2,
24449748,3,False,False,unavailable,v1;v2,
24549970,3,False,False,unavailable,v1;v2,
24612094,3,False,False,unavailable,v1;v2,
24670291,3,False,False,unavailable,v1;v2,
25039251,3,False,False,unavailable,v1;v2,
25651064,3,False,False,unavailable,v1;v2,
25672482,3,False,False,unavailable,v1;v2,
25769320,3,False,False,unavailable,v1;v2,
25814469,3,False,False,unavailable,v1;v2,
25901203,3,False,False,unavailable,v1;v2,
26088967,3,False,False,unavailable,v1;v2,
26228524,3,False,False,unavailable,v1;v2,
26311395,3,False,False,unavailable,v1;v2,
26399236,3,False,False,unavailable,v1;v2,
26404018,3,False,False,unavailable,v1;v2,
26530221,3,False,False,unavailable,v1;v2,
26712857,3,False,False,unavailable,v1;v2,
26853805,3,False,False,unavailable,v1;v2,
27053210,3,False,False,unavailable,v1;v2,
27738991,3,False,False,unavailable,v1;v2,
27739397,3,False,False,unavailable,v1;v2,
27808568,3,False,False,unavailable,v1;v2,
27829310,3,False,False,unavailable,v1;v2,
27830632,3,False,False,unavailable,v1;v2,
27869301,3,False,False,unavailable,v1;v2,
27883214,3,False,False,unavailable,v1;v2,
27917536,3,False,False,unavailable,v1;v2,
27998326,3,False,False,unavailable,v1;v2,
28106934,3,False,False,unavailable,v1;v2,
28320224,3,False,False,unavailable,v1;v2,
28656347,3,False,False,unavailable,v1;v2,
28960637,3,False,False,unavailable,v1;v2,
29057579,3,False,False,unavailable,v1;v2,
29105114,3,False,False,unavailable,v1;v2,
29251844,3,False,False,unavailable,v1;v2,
29340793,3,False,False,unavailable,v1;v2,
29440536,3,False,False,unavailable,v1;v2,
29516092,3,False,False,unavailable,v1;v2,
29624440,3,False,False,unavailable,v1;v2,
29696595,3,False,False,unavailable,v1;v2,
29734953,3,False,False,unavailable,v1;v2,
29883011,3,False,False,unavailable,v1;v2,
30058761,3,False,False,unavailable,v1;v2,
30204241,3,False,False,unavailable,v1;v2,
30276811,3,False,False,unavailable,v1;v2,
30589303,3,False,False,unavailable,v1;v2,
30605431,3,False,False,unavailable,v1;v2,
30816616,3,False,False,unavailable,v1;v2,
31028692,3,False,False,unavailable,v1;v2,
31217828,3,False,False,unavailable,v1;v2,
31249310,3,False,False,unavailable,v1;v2,
31365137,3,False,False,unavailable,v1;v2,
31523140,3,False,False,unavailable,v1;v2,
3736773,3,False,False,unavailable,v1;v2,
9153520,3,False,False,unavailable,v1;v2,
9542891,3,False,False,unavailable,v1;v2,
