stage,metric,value,ci_lower,ci_upper
search,true_positives,63,,
search,false_negatives,16,,
search,false_positives,531,,
search,recall,0.7974683544303798,0.696037818373046,0.8713099875602051
search,precision,0.10606060606060606,0.08377972944787587,0.13340422028061408
abstract,true_positives,61,,
abstract,false_negatives,2,,
abstract,false_positives,161,,
abstract,recall_in_search,0.9682539682539683,0.8914331816504081,0.9912506559597031
abstract,recall_all_meta,0.7721518987341772,0.6683294466956345,0.8507334395837226
abstract,precision,0.2747747747747748,0.22025906774143067,0.336952712550597
fulltext,true_positives,59,,
fulltext,false_negatives,1,,
fulltext,false_positives,63,,
fulltext,additional_false_negatives,1,,
fulltext,missing_full_text,1,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,4,,
fulltext,false_negatives_fulltext_only,1,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9833333333333333,0.9114466177322051,0.9970519161391262
fulltext,recall_fulltext_only,0.9833333333333333,0.9114466177322051,0.9970519161391262
fulltext,absolute_recall_all_texts,0.9365079365079365,0.8478060794692327,0.9750347860995149
fulltext,recall_all_meta,0.7468354430379747,0.6410553271149313,0.8297226395105322
fulltext,precision,0.48360655737704916,0.39679226961314173,0.5714217391089342
fulltext,precision_fulltext_only,0.48360655737704916,0.39679226961314173,0.5714217391089342
fulltext_with_coords,true_positives,41,,
fulltext_with_coords,false_negatives,19,,
fulltext_with_coords,false_positives,18,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.6833333333333333,0.5576599505698345,0.7869429415882567
fulltext_with_coords,recall_all_meta,0.5189873417721519,0.41050913955969837,0.6257045501807218
fulltext_with_coords,precision,0.6949152542372882,0.5685343274025617,0.7974652652239788
