pmid,type,source,full_text_path,in_included_set
15982446,unavailable,pubget,,True
18187528,unavailable,pubget,,True
20875635,unavailable,pubget,,True
21310189,unavailable,pubget,,True
22178355,unavailable,pubget,,True
23142417,unavailable,pubget,,False
23149031,unavailable,pubget,,True
24793365,unavailable,pubget,,False
25385625,unavailable,pubget,,True
25637267,unavailable,pubget,,False
26094186,unavailable,pubget,,False
26364127,unavailable,pubget,,True
27793597,unavailable,pubget,,False
