project,manual_annotation,auto_column,run,n_analyses_autonima,n_foci_autonima,n_analyses_all_analyses,n_foci_all_analyses,n_analyses_all_studies,n_foci_all_studies,n_analyses_all_abstract,n_foci_all_abstract,n_analyses_targeted,n_foci_targeted
cue_reactivity,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,v6,1633,10782,2262,14201,2660,19552,2382,16085,700,10343
cue_reactivity,2_drug_neutral_2020_wbonly,drug_cue_reactivity,v6,489,3511,2262,14201,2660,19552,2382,16085,543,7693
cue_reactivity,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,v6,1155,7391,2262,14201,2660,19552,2382,16085,373,6058
decision_making,adm_july2019,ambiguous_dm,v3,274,2049,1149,8540,1355,12202,1283,10691,373,6310
decision_making,perceptual_dm_july2019,perceptual_dm,v3,148,1299,1149,8540,1355,12202,1283,10691,107,1663
decision_making,rdm_july2019,risky_dm,v3,445,3225,1149,8540,1355,12202,1283,10691,376,6418
dementia,all,dementia_all,v3,111,631,321,1761,501,4634,428,3460,293,4604
dementia,decrease,dementia_decreasing_activity,v3,80,536,321,1761,501,4634,428,3460,293,4604
dementia,functional,functional,v3,33,114,321,1761,501,4634,428,3460,231,3744
dementia,structural,structural,v3,81,538,321,1761,501,4634,428,3460,272,4390
emotion_regulation_2022,decrease,decrease,v4,266,2023,1065,7696,1702,17158,1258,10486,682,10858
emotion_regulation_2022,increase,increase,v4,56,408,1065,7696,1702,17158,1258,10486,627,10060
emotion_regulation_2022,maintain,maintain,v4,204,1718,1065,7696,1702,17158,1258,10486,,
emotion_regulation_2022,reappraisal,reappraisal,v4,279,2100,1065,7696,1702,17158,1258,10486,391,6748
executive_function,all,pooled_executive_function,v3,1699,14902,2515,20606,3123,30735,2608,22010,1636,31105
executive_function,flexibility,cognitive_flexibility,v3,103,856,2515,20606,3123,30735,2608,22010,77,1702
executive_function,inhibition,inhibition,v3,323,2619,2515,20606,3123,30735,2608,22010,504,8575
executive_function,working_memory,working_memory,v3,842,8061,2515,20606,3123,30735,2608,22010,746,15653
problem_solving,calculation_mni_final,mathematical_problem_solving,v2,251,2154,1114,9822,,,,,362,6598
problem_solving,demand_mni_final,logical_reasoning,v2,165,1465,1114,9822,,,,,574,10996
problem_solving,global_calculationandvisuospatialandword_mni_final,domain_general_problem_solving,v2,704,6390,1114,9822,,,,,3246,57161
problem_solving,visuospatialreasoning_mni_final,visuospatial_problem_solving,v2,251,2524,1114,9822,,,,,410,8486
problem_solving,wordproblems_mni_final,verbal_problem_solving,v2,177,1307,1114,9822,,,,,1464,25587
social,affiliation_merged,affiliation_attachment,v3,186,1576,1707,11947,2061,17485,1806,13483,353,5805
social,all_merged,social_processing_all,v3,987,7711,1707,11947,2061,17485,1806,13483,983,17348
social,others_merged,perception_others,v3,847,6803,1707,11947,2061,17485,1806,13483,1308,23235
social,self_merged,perception_self,v3,181,1448,1707,11947,2061,17485,1806,13483,1439,23466
social,soccomm_merged,social_communication,v3,521,4211,1707,11947,2061,17485,1806,13483,1306,22610
vbm_of_ptsd,nonptsdgtptsd_merged,decreased_gm,v1,8,72,57,249,82,430,63,306,47,386
vbm_of_substance_use,alcohol,alcohol,v2,24,229,281,1455,445,3261,309,1749,102,1168
vbm_of_substance_use,all_drug_classes,all_drug_classes,v2,85,618,281,1455,445,3261,309,1749,289,3266
vbm_of_substance_use,nicotine,nicotine,v2,22,167,281,1455,445,3261,309,1749,81,977
