project,manual_column,auto_column,run,k_analyses,pool_analyses,observed_r2,n_boot,null_mean,null_sd,null_p05,null_p50,null_p95,null_max,delta_vs_null_mean,n_null_ge_observed,p_value,z_vs_null,observed_dice,dice_null_mean,dice_null_sd,dice_null_p95,dice_delta_vs_null_mean,dice_p_value,status
cue_reactivity,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,v5-annotation-only,519,705,0.774986,500,0.723894,0.016391,0.695839,0.724133,0.751089,0.770127,0.051092,0,0.001996,3.1171,0.723288,0.70245,0.010874,0.720443,0.020838,0.02994,ok
cue_reactivity,2_drug_neutral_2020_wbonly,drug_cue_reactivity,v5-annotation-only,286,705,0.708973,500,0.435758,0.031005,0.38415,0.434832,0.484883,0.52495,0.273215,0,0.001996,8.8121,0.64671,0.448751,0.024842,0.490097,0.197959,0.001996,ok
cue_reactivity,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,v5-annotation-only,240,705,0.699854,500,0.464602,0.050646,0.378931,0.464765,0.54521,0.588965,0.235251,0,0.001996,4.645,0.653462,0.513135,0.040968,0.574755,0.140327,0.001996,ok
decision_making,adm_july2019,ambiguous_dm,v2-annotation-only,85,274,0.195809,500,0.177182,0.033077,0.12532,0.176695,0.232333,0.272782,0.018627,138,0.277445,0.5631,0.172329,0.169967,0.052195,0.262001,0.002361,0.467066,ok
decision_making,perceptual_dm_july2019,perceptual_dm,v2-annotation-only,76,274,0.822411,500,0.322976,0.087169,0.172043,0.325111,0.457194,0.619923,0.499435,0,0.001996,5.7295,0.772815,0.233684,0.114161,0.425528,0.539131,0.001996,ok
decision_making,rdm_july2019,risky_dm,v2-annotation-only,58,274,0.282186,500,0.097695,0.032261,0.049692,0.096047,0.154004,0.211504,0.184491,0,0.001996,5.7186,0.059046,0.036918,0.033136,0.08897,0.022128,0.157685,ok
dementia,all,dementia_all,v3-annotation-only,79,207,0.486581,500,0.247491,0.061184,0.151418,0.248499,0.353522,0.436961,0.23909,0,0.001996,3.9077,0.399037,0.182912,0.091983,0.329296,0.216125,0.003992,ok
dementia,decrease,dementia_decreasing_activity,v3-annotation-only,61,207,0.406841,500,0.190214,0.055303,0.101628,0.187337,0.288126,0.338829,0.216627,0,0.001996,3.9171,0.390591,0.107527,0.078484,0.253275,0.283064,0.001996,ok
dementia,functional,functional,v3-annotation-only,27,207,0.444337,500,0.085466,0.048897,0.017164,0.078048,0.179549,0.262232,0.358871,0,0.001996,7.3394,0.3837,0.019007,0.056657,0.150304,0.364693,0.003992,ok
dementia,structural,structural,v3-annotation-only,53,207,0.380391,500,0.159534,0.052524,0.082567,0.155217,0.248331,0.321141,0.220857,0,0.001996,4.2049,0.25611,0.069461,0.064589,0.197178,0.186649,0.00998,ok
emotion_regulation_2022,decrease,decrease,v4-annotation-only,154,428,0.762297,500,0.312517,0.070543,0.204758,0.31293,0.427821,0.534346,0.44978,0,0.001996,6.3759,0.705172,0.3044,0.070925,0.417519,0.400772,0.001996,ok
emotion_regulation_2022,increase,increase,v4-annotation-only,18,428,0.549103,500,0.043017,0.035508,0.004127,0.034223,0.113011,0.222033,0.506086,0,0.001996,14.2527,0.543734,0.014241,0.036341,0.089901,0.529492,0.001996,ok
emotion_regulation_2022,maintain,maintain,v4-annotation-only,87,428,0.547579,500,0.113668,0.050536,0.039723,0.107159,0.204835,0.323719,0.433911,0,0.001996,8.5862,0.451571,0.146385,0.04958,0.223547,0.305186,0.001996,ok
emotion_regulation_2022,reappraisal,reappraisal,v4-annotation-only,165,428,0.789908,500,0.352837,0.069951,0.237728,0.353817,0.469206,0.563902,0.43707,0,0.001996,6.2482,0.681669,0.320443,0.071855,0.442322,0.361226,0.001996,ok
executive_function,all,pooled_executive_function,v1-annotation-only,183,374,0.760302,500,0.704837,0.02378,0.664086,0.706678,0.738846,0.760879,0.055465,1,0.003992,2.3324,0.713334,0.63755,0.027466,0.680232,0.075785,0.001996,ok
executive_function,flexibility,cognitive_flexibility,v1-annotation-only,20,374,0.22319,500,0.092755,0.037156,0.040269,0.088546,0.156894,0.216552,0.130436,0,0.001996,3.5105,0.21223,0.0488,0.066481,0.199751,0.163431,0.041916,ok
executive_function,inhibition,inhibition,v1-annotation-only,61,374,0.500892,500,0.413327,0.04633,0.334654,0.41544,0.486306,0.531528,0.087565,8,0.017964,1.89,0.405107,0.387382,0.069445,0.495044,0.017725,0.41517,ok
executive_function,working_memory,working_memory,v1-annotation-only,81,374,0.654314,500,0.497648,0.046898,0.415938,0.500953,0.568117,0.609205,0.156666,0,0.001996,3.3405,0.649065,0.409553,0.068183,0.509669,0.239512,0.001996,ok
problem_solving,calculation_mni_final,mathematical_problem_solving,v2-annotation-only,104,405,0.814678,500,0.504181,0.056409,0.408918,0.508138,0.589203,0.660674,0.310497,0,0.001996,5.5044,0.765588,0.516102,0.058816,0.603923,0.249486,0.001996,ok
problem_solving,demand_mni_final,logical_reasoning,v2-annotation-only,74,405,0.72329,500,0.379869,0.060244,0.278389,0.381767,0.472733,0.549192,0.343421,0,0.001996,5.7005,0.686247,0.402666,0.080633,0.516865,0.283581,0.001996,ok
problem_solving,global_calculationandvisuospatialandword_mni_final,domain_general_problem_solving,v2-annotation-only,286,405,0.827484,500,0.774652,0.015555,0.748412,0.776109,0.799348,0.81353,0.052832,0,0.001996,3.3964,0.774725,0.727421,0.013412,0.748439,0.047304,0.001996,ok
problem_solving,visuospatialreasoning_mni_final,visuospatial_problem_solving,v2-annotation-only,110,405,0.533281,500,0.260384,0.037506,0.203796,0.257517,0.329103,0.367571,0.272897,0,0.001996,7.276,0.518434,0.323495,0.035086,0.380848,0.194938,0.001996,ok
problem_solving,wordproblems_mni_final,verbal_problem_solving,v2-annotation-only,92,405,0.635134,500,0.38315,0.047856,0.299585,0.38575,0.460106,0.519908,0.251984,0,0.001996,5.2655,0.598161,0.437477,0.04997,0.509664,0.160684,0.001996,ok
social,affiliation_merged,affiliation_attachment,v4-annotation-only,70,720,0.284616,500,0.139977,0.036689,0.084144,0.137322,0.207707,0.265697,0.144639,0,0.001996,3.9423,0.210544,0.083863,0.061269,0.195486,0.126681,0.033932,ok
social,all_merged,social_processing_all,v4-annotation-only,557,720,0.783679,500,0.767983,0.013083,0.746656,0.767983,0.788549,0.801093,0.015696,60,0.121756,1.1997,0.722302,0.694957,0.013466,0.715876,0.027346,0.011976,ok
social,others_merged,perception_others,v4-annotation-only,449,720,0.675946,500,0.645142,0.019266,0.613494,0.64475,0.675747,0.708545,0.030804,24,0.0499,1.5989,0.644554,0.636451,0.014327,0.658828,0.008102,0.287425,ok
social,self_merged,perception_self,v4-annotation-only,110,720,0.337918,500,0.226585,0.031543,0.175718,0.225784,0.281588,0.334376,0.111333,0,0.001996,3.5295,0.31126,0.202169,0.064231,0.311386,0.109091,0.053892,ok
social,soccomm_merged,social_communication,v4-annotation-only,222,720,0.562985,500,0.3718,0.03989,0.30676,0.373279,0.43325,0.490415,0.191184,0,0.001996,4.7928,0.537424,0.360653,0.046929,0.437609,0.176771,0.001996,ok
vbm_of_ptsd,nonptsdgtptsd_merged,decreased_gm,v1-annotation-only,8,42,0.54914,500,0.155228,0.117885,0.019973,0.11018,0.368421,0.592892,0.393913,2,0.005988,3.3415,0.0,0.200911,0.174035,0.536174,-0.200911,1.0,ok
vbm_of_substance_use,alcohol,alcohol,v2-annotation-only,23,207,0.656315,500,0.048345,0.047137,0.003539,0.032615,0.149101,0.339234,0.607971,0,0.001996,12.8981,0.42028,0.002962,0.01951,0.0,0.417318,0.001996,ok
vbm_of_substance_use,all_drug_classes,all_drug_classes,v2-annotation-only,113,207,0.345111,500,0.209959,0.047553,0.142326,0.207871,0.287486,0.404394,0.135152,7,0.015968,2.8422,0.064295,0.033899,0.023155,0.079576,0.030396,0.11976,ok
vbm_of_substance_use,nicotine,nicotine,v2-annotation-only,47,207,0.14914,500,0.04343,0.024513,0.01199,0.039146,0.091362,0.147512,0.10571,0,0.001996,4.3123,0.0,0.0,0.0,0.0,0.0,1.0,ok
