project,run,manual_column,dice_annotated,dice_all_analyses,dice_gain,pearson_annotated,pearson_all_analyses,annotation_f1
cue_reactivity,v5-annotation-only,1_reward_neutral_2020_wbonly,0.7233,0.711,0.0123,0.8986,0.889,0.9759
cue_reactivity,v5-annotation-only,2_drug_neutral_2020_wbonly,0.6467,0.4192,0.2275,0.8676,0.7572,0.9703
cue_reactivity,v5-annotation-only,3_natural_neutral_2020_wbonly,0.6535,0.5418,0.1117,0.8578,0.7902,0.9771
decision_making,v2-annotation-only,adm_july2019,0.1723,0.1992,-0.0269,0.5217,0.5969,0.8966
decision_making,v2-annotation-only,rdm_july2019,0.059,0.0053,0.0537,0.5853,0.506,0.7826
decision_making,v2-annotation-only,perceptual_dm_july2019,0.7728,0.566,0.2068,0.9166,0.7729,0.9677
dementia,v3-annotation-only,all,0.399,0.3005,0.0985,0.7381,0.6845,1.0
dementia,v3-annotation-only,decrease,0.3906,0.32,0.0706,0.6836,0.6587,1.0
dementia,v3-annotation-only,functional,0.3837,0.1027,0.281,0.7015,0.582,1.0
dementia,v3-annotation-only,structural,0.2561,0.2,0.0561,0.6652,0.6407,0.6667
emotion_regulation_2022,v4-annotation-only,decrease,0.7052,0.5475,0.1576,0.887,0.6963,0.8448
emotion_regulation_2022,v4-annotation-only,increase,0.5437,0.2341,0.3096,0.7649,0.5103,0.9231
emotion_regulation_2022,v4-annotation-only,maintain,0.4516,0.2339,0.2177,0.7711,0.5047,0.7857
emotion_regulation_2022,v4-annotation-only,reappraisal,0.6817,0.5592,0.1225,0.9011,0.7287,0.8594
executive_function,v1-annotation-only,all,0.7133,0.7615,-0.0481,0.8874,0.8979,0.8706
executive_function,v1-annotation-only,working_memory,0.6491,0.7053,-0.0562,0.831,0.8507,0.8158
executive_function,v1-annotation-only,inhibition,0.4051,0.5777,-0.1726,0.7441,0.8224,0.9143
executive_function,v1-annotation-only,flexibility,0.2122,0.1299,0.0823,0.529,0.5633,0.9333
problem_solving,v2-annotation-only,global_calculationandvisuospatialandword_mni_final,0.7747,0.7624,0.0123,0.9215,0.9139,0.9832
problem_solving,v2-annotation-only,calculation_mni_final,0.7656,0.6161,0.1495,0.9124,0.8383,0.9821
problem_solving,v2-annotation-only,wordproblems_mni_final,0.5982,0.4471,0.1511,0.8225,0.7647,0.9639
problem_solving,v2-annotation-only,visuospatialreasoning_mni_final,0.5184,0.3681,0.1504,0.7706,0.6401,0.9346
problem_solving,v2-annotation-only,demand_mni_final,0.6862,0.4812,0.2051,0.8662,0.7861,0.7547
social,v4-annotation-only,affiliation_merged,0.2105,0.2234,-0.0129,0.5997,0.6496,0.3826
social,v4-annotation-only,self_merged,0.3113,0.3244,-0.0131,0.6509,0.7177,0.5273
social,v4-annotation-only,others_merged,0.6446,0.645,-0.0004,0.8526,0.8714,0.6191
social,v4-annotation-only,soccomm_merged,0.5374,0.5149,0.0225,0.7943,0.7668,0.6543
social,v4-annotation-only,all_merged,0.7223,0.7479,-0.0255,0.9059,0.9174,0.9287
vbm_of_ptsd,v1-annotation-only,nonptsdgtptsd_merged,0.0,0.2234,-0.2234,0.7626,0.6015,0.8889
vbm_of_substance_use,v2-annotation-only,all_drug_classes,0.0643,0.0347,0.0296,0.6467,0.5952,0.96
vbm_of_substance_use,v2-annotation-only,alcohol,0.4203,0.0431,0.3772,0.8333,0.455,1.0
vbm_of_substance_use,v2-annotation-only,nicotine,0.0,0.0,0.0,0.4372,0.3818,0.7778
