project_name,selection_status,selection_reason,selected_version,selected_run_dir,rerun_status,return_code,log_path
cue_reactivity,selected,Selected run_categories.yaml tier=latest (v5-annotation-only),5,/home/zorro/repos/autonima-results/projects/cue_reactivity/v5-annotation-only,success,0,logs/cue_reactivity.log
decision_making,selected,Selected run_categories.yaml tier=latest (v2-annotation-only),2,/home/zorro/repos/autonima-results/projects/decision_making/v2-annotation-only,success,0,logs/decision_making.log
dementia,selected,Selected run_categories.yaml tier=latest (v3-annotation-only),3,/home/zorro/repos/autonima-results/projects/dementia/v3-annotation-only,success,0,logs/dementia.log
emotion_regulation_2022,selected,Selected run_categories.yaml tier=latest (v4-annotation-only),4,/home/zorro/repos/autonima-results/projects/emotion_regulation_2022/v4-annotation-only,success,0,logs/emotion_regulation_2022.log
executive_function,selected,Selected run_categories.yaml tier=latest (v3-annotation-only),3,/home/zorro/repos/autonima-results/projects/executive_function/v3-annotation-only,success,0,logs/executive_function.log
problem_solving,selected,Selected run_categories.yaml tier=latest (v2-annotation-only),2,/home/zorro/repos/autonima-results/projects/problem_solving/v2-annotation-only,success,0,logs/problem_solving.log
social,selected,Selected run_categories.yaml tier=latest (v4-annotation-only),4,/home/zorro/repos/autonima-results/projects/social/v4-annotation-only,success,0,logs/social.log
template_,skipped,No directories matched annotation-only pattern ^vN-annotation-only.*$,,,skipped,,
vbm_of_ptsd,selected,Selected run_categories.yaml tier=latest (v1-annotation-only),1,/home/zorro/repos/autonima-results/projects/vbm_of_ptsd/v1-annotation-only,success,0,logs/vbm_of_ptsd.log
vbm_of_substance_use,selected,Selected run_categories.yaml tier=latest (v2-annotation-only),2,/home/zorro/repos/autonima-results/projects/vbm_of_substance_use/v2-annotation-only,success,0,logs/vbm_of_substance_use.log
