project,manual_annotation,metric,autonima,baseline_sub,baseline_broad,targeting_possible,best_available,best_available_source,strongest,strongest_source,delta_vs_available,delta_vs_strongest
cue_reactivity,1_reward_neutral_2020_wbonly,r2,0.6104,0.4876,0.4876,yes,0.4876,targeted,0.4876,targeted,0.1228,0.1228
cue_reactivity,2_drug_neutral_2020_wbonly,r2,0.6405,0.5403,0.4891,yes,0.5403,targeted,0.5403,targeted,0.1002,0.1002
cue_reactivity,3_natural_neutral_2020_wbonly,r2,0.4525,0.2866,0.241,yes,0.2866,targeted,0.2866,targeted,0.1659,0.1659
decision_making,adm_july2019,r2,0.2522,0.2852,0.2862,yes,0.2852,targeted,0.2862,broad,-0.033,-0.034
decision_making,perceptual_dm_july2019,r2,0.6793,0.6595,0.3684,yes,0.6595,targeted,0.6595,targeted,0.0198,0.0198
decision_making,rdm_july2019,r2,0.1339,0.1539,0.1637,yes,0.1539,targeted,0.1637,broad,-0.02,-0.0298
emotion_regulation_2022,decrease,r2,0.7454,0.247,0.2586,yes,0.247,targeted,0.2586,broad,0.4984,0.4868
emotion_regulation_2022,increase,r2,0.4404,0.1461,0.1585,yes,0.1461,targeted,0.1585,broad,0.2943,0.2819
emotion_regulation_2022,maintain,r2,0.5556,,0.2181,no,0.2181,broad,0.2181,broad,0.3375,0.3375
emotion_regulation_2022,reappraisal,r2,0.7877,0.4798,0.2992,yes,0.4798,targeted,0.4798,targeted,0.3079,0.3079
executive_function,all,r2,0.8182,0.7816,0.7816,yes,0.7816,targeted,0.7816,targeted,0.0366,0.0366
executive_function,flexibility,r2,0.313,0.3019,0.2724,yes,0.3019,targeted,0.3019,targeted,0.0111,0.0111
executive_function,inhibition,r2,0.6056,0.5815,0.6389,yes,0.5815,targeted,0.6389,broad,0.0241,-0.0333
executive_function,working_memory,r2,0.7758,0.7426,0.6879,yes,0.7426,targeted,0.7426,targeted,0.0332,0.0332
problem_solving,calculation_mni_final,r2,0.7459,0.7126,0.613,yes,0.7126,targeted,0.7126,targeted,0.0333,0.0333
problem_solving,demand_mni_final,r2,0.6331,0.4569,0.5102,yes,0.4569,targeted,0.5102,broad,0.1762,0.1229
problem_solving,global_calculationandvisuospatialandword_mni_final,r2,0.8136,0.7127,0.7127,yes,0.7127,targeted,0.7127,targeted,0.1009,0.1009
problem_solving,visuospatialreasoning_mni_final,r2,0.4557,0.2849,0.2605,yes,0.2849,targeted,0.2849,targeted,0.1708,0.1708
problem_solving,wordproblems_mni_final,r2,0.5673,0.4984,0.4843,yes,0.4984,targeted,0.4984,targeted,0.0689,0.0689
social,affiliation_merged,r2,0.3469,0.2882,0.2696,yes,0.2882,targeted,0.2882,targeted,0.0587,0.0587
social,all_merged,r2,0.7691,0.6985,0.6985,yes,0.6985,targeted,0.6985,targeted,0.0706,0.0706
social,others_merged,r2,0.6652,0.6215,0.5837,yes,0.6215,targeted,0.6215,targeted,0.0437,0.0437
social,self_merged,r2,0.3915,0.31,0.3518,yes,0.31,targeted,0.3518,broad,0.0815,0.0397
social,soccomm_merged,r2,0.572,0.4798,0.499,yes,0.4798,targeted,0.499,broad,0.0922,0.073
vbm_of_ptsd,nonptsdgtptsd_merged,r2,0.5784,0.2445,0.2445,yes,0.2445,targeted,0.2445,targeted,0.3339,0.3339
vbm_of_substance_use,alcohol,r2,0.4953,0.2923,0.1854,yes,0.2923,targeted,0.2923,targeted,0.203,0.203
vbm_of_substance_use,all_drug_classes,r2,0.4441,0.3644,0.3644,yes,0.3644,targeted,0.3644,targeted,0.0797,0.0797
vbm_of_substance_use,nicotine,r2,0.3026,0.1103,0.0607,yes,0.1103,targeted,0.1103,targeted,0.1923,0.1923
