project_name,run,dice_mean_diagonal,pearson_mean_diagonal,dice_mean_off_diagonal,pearson_mean_off_diagonal,all_analyses_dice,all_analyses_pearson,n_rows,n_cols
cue_reactivity,v5-annotation-only,0.701996,0.865210,0.562110,0.752266,0.603508,0.801351,6,3
decision_making,v2-annotation-only,0.426326,0.662031,0.241392,0.482890,0.303282,0.605932,6,3
dementia,v2-annotation-only,0.431348,0.722136,0.360598,0.634442,0.354097,0.642900,5,4
dementia,v2-annotation-only-abstract,0.408535,0.700247,0.356860,0.607409,0.354097,0.642900,5,4
dementia,v3-annotation-only,0.469647,0.729173,0.351319,0.642754,0.353268,0.642202,5,4
emotion_regulation_2022,v2-annotation-only,0.603494,0.787102,0.253859,0.398773,0.415033,0.618586,5,4
emotion_regulation_2022,v4-annotation-only,0.624474,0.826212,0.296894,0.467644,0.380575,0.590601,7,4
executive_function,v1-annotation-only,0.526841,0.750944,0.362885,0.567269,0.443314,0.698581,5,4
executive_function,v3-annotation-only,0.524892,0.756858,0.358857,0.569953,0.442445,0.697503,5,4
problem_solving,v1-annotation-only,0.577945,0.769235,0.466042,0.669070,0.511751,0.744316,8,5
problem_solving,v2-annotation-only,0.639165,0.827415,0.472651,0.674204,0.513903,0.745464,8,5
social,v1-annotation-only,0.570757,0.768414,0.446816,0.669979,0.523106,0.759423,8,5
social,v1-annotation-only-gpt5,0.483287,0.685437,0.406073,0.634877,0.526418,0.762626,8,5
social,v1-annotation-only-lc,0.519976,0.708262,0.416022,0.638798,0.525047,0.759286,8,5
social,v2-annotation-only,0.563514,0.766093,0.447569,0.680084,0.522101,0.759408,8,5
social,v3-annotation-only,0.568781,0.772477,0.462548,0.694706,0.525781,0.758245,8,5
social,v4-annotation-only,0.550308,0.753240,0.451212,0.675103,0.522018,0.761393,8,5
social,v5-annotation-only,0.518352,0.709134,0.403554,0.627919,0.517292,0.759747,8,5
vbm_of_ptsd,v1-annotation-only,0.874787,0.910444,0.519711,0.648785,0.519711,0.648785,4,1
vbm_of_substance_use,v2-annotation-only,0.483892,0.726983,0.082342,0.250563,0.144598,0.375767,9,6
