project_name,run_name,condition,n_search,n_manual,n_source_coords,n_search_coords,n_search_coords_true_positive,search_coords_precision,n_ft_coords,n_ft_coords_true_positive,ft_coords_precision,pubget_coord_pmids,elsevier_coord_pmids,ace_coord_pmids,other_coord_pmids
cue_reactivity,v6,cue_reactivity,1940,191,3591,662,135,0.2039274924471299,446,132,0.29596412556053814,121,1027,2534,0
decision_making,v3,decision_making,769,153,3543,379,68,0.17941952506596306,255,67,0.2627450980392157,73,1027,2534,0
dementia,v3,dementia,2027,74,3529,174,34,0.19540229885057472,62,33,0.532258064516129,59,1027,2534,0
emotion_regulation_2022,v4,emotion_regulation_2022,1264,88,3657,580,57,0.09827586206896552,207,56,0.27053140096618356,187,1027,2534,0
executive_function,v3,executive_function,4881,171,3489,840,64,0.0761904761904762,500,55,0.11,19,1027,2534,0
problem_solving,v2,problem_solving,9999,126,3706,423,76,0.17966903073286053,216,64,0.2962962962962963,45,1308,2534,0
social,v3,social,1024,238,3547,529,148,0.27977315689981097,322,147,0.45652173913043476,77,1027,2534,0
vbm_of_ptsd,v1,vbm_of_ptsd,73,21,3478,29,8,0.27586206896551724,12,8,0.6666666666666666,8,1027,2534,0
vbm_of_substance_use,v2,vbm_of_substance_use,647,79,3526,181,59,0.3259668508287293,84,55,0.6547619047619048,57,1027,2534,0
dementia,v5-allstudies,dementia_allstudies,558,74,3506,116,36,0.3103448275862069,61,35,0.5737704918032787,36,1027,2534,0
