project_name,run_name,condition,n_search_precision_denominator,n_search_true_positive,search_precision,n_ft,n_ft_true_positive,ft_precision
cue_reactivity,v6,cue_reactivity,1940,178,0.09175257731958762,525,163,0.31047619047619046
decision_making,v3,decision_making,769,92,0.11963589076723016,386,84,0.21761658031088082
dementia,v3,dementia,2027,71,0.03502713369511593,157,63,0.4012738853503185
emotion_regulation_2022,v4,emotion_regulation_2022,1264,79,0.0625,188,58,0.30851063829787234
executive_function,v3,executive_function,4881,127,0.02601925834869904,701,66,0.09415121255349501
problem_solving,v2,problem_solving,9999,111,0.0111011101110111,221,68,0.3076923076923077
social,v3,social,1024,226,0.220703125,544,221,0.40625
vbm_of_ptsd,v1,vbm_of_ptsd,73,18,0.2465753424657534,27,16,0.5925925925925926
vbm_of_substance_use,v2,vbm_of_substance_use,647,71,0.10973724884080371,142,63,0.44366197183098594
dementia,v5-allstudies,dementia_allstudies,558,74,0.13261648745519714,157,67,0.4267515923566879
