stage,metric,value,ci_lower,ci_upper
search,true_positives,142,,
search,false_negatives,49,,
search,false_positives,1028,,
search,recall,0.743455497382199,0.6771447259258051,0.8001660742318614
search,precision,0.12136752136752137,0.1038843492358417,0.1413289742653871
abstract,true_positives,140,,
abstract,false_negatives,2,,
abstract,false_positives,481,,
abstract,recall_in_search,0.9859154929577465,0.9501030115661628,0.996129064878418
abstract,recall_all_meta,0.7329842931937173,0.6661011068186194,0.7906801965580722
abstract,precision,0.22544283413848631,0.1943219472692376,0.25993974081299
fulltext,true_positives,125,,
fulltext,false_negatives,13,,
fulltext,false_positives,269,,
fulltext,additional_false_negatives,13,,
fulltext,missing_full_text,0,,
fulltext,incomplete_full_text,2,,
fulltext,false_negatives_all_texts,17,,
fulltext,false_negatives_fulltext_only,13,,
fulltext,omitted_incomplete_fulltext,2,,
fulltext,recall_in_search,0.9057971014492754,0.8454932039178352,0.9441199984149079
fulltext,recall_fulltext_only,0.9057971014492754,0.8454932039178352,0.9441199984149079
fulltext,absolute_recall_all_texts,0.8802816901408451,0.8166335958722644,0.9238958552582772
fulltext,recall_all_meta,0.6544502617801047,0.5845614147729978,0.718248662746382
fulltext,precision,0.31725888324873097,0.27325576777879057,0.3647911332994275
fulltext,precision_fulltext_only,0.31725888324873097,0.27325576777879057,0.3647911332994275
fulltext_with_coords,true_positives,100,,
fulltext_with_coords,false_negatives,38,,
fulltext_with_coords,false_positives,156,,
fulltext_with_coords,omitted_incomplete_fulltext,2,,
fulltext_with_coords,recall_in_search,0.7246376811594203,0.6447888462840227,0.7923184621501743
fulltext_with_coords,recall_all_meta,0.5235602094240838,0.45296435249268924,0.5932270152645043
fulltext_with_coords,precision,0.390625,0.33289687710321253,0.4515872085859151
