stage,metric,value,ci_lower,ci_upper
search,true_positives,142,,
search,false_negatives,49,,
search,false_positives,1032,,
search,recall,0.743455497382199,0.6771447259258051,0.8001660742318614
search,precision,0.12095400340715502,0.1035271968759889,0.14085337178451687
abstract,true_positives,140,,
abstract,false_negatives,2,,
abstract,false_positives,430,,
abstract,recall_in_search,0.9859154929577465,0.9501030115661628,0.996129064878418
abstract,recall_all_meta,0.7329842931937173,0.6661011068186194,0.7906801965580722
abstract,precision,0.24561403508771928,0.212056359481464,0.28257769981294745
fulltext,true_positives,137,,
fulltext,false_negatives,0,,
fulltext,false_positives,289,,
fulltext,additional_false_negatives,0,,
fulltext,missing_full_text,0,,
fulltext,incomplete_full_text,3,,
fulltext,false_negatives_all_texts,5,,
fulltext,false_negatives_fulltext_only,0,,
fulltext,omitted_incomplete_fulltext,3,,
fulltext,recall_in_search,1.0,0.9727239679185695,1
fulltext,recall_fulltext_only,1.0,0.9727239679185695,1
fulltext,absolute_recall_all_texts,0.9647887323943662,0.9202235175149179,0.9848680338668553
fulltext,recall_all_meta,0.7172774869109948,0.6496162706814863,0.7763707875237431
fulltext,precision,0.3215962441314554,0.2790047128511953,0.36737665181895285
fulltext,precision_fulltext_only,0.3215962441314554,0.2790047128511953,0.36737665181895285
fulltext_with_coords,true_positives,104,,
fulltext_with_coords,false_negatives,33,,
fulltext_with_coords,false_positives,170,,
fulltext_with_coords,omitted_incomplete_fulltext,3,,
fulltext_with_coords,recall_in_search,0.7591240875912408,0.6810808223611243,0.8230315989689373
fulltext_with_coords,recall_all_meta,0.5445026178010471,0.4736905410072664,0.613559820311877
fulltext_with_coords,precision,0.3795620437956204,0.3241408627391894,0.43831371569686906
