stage,metric,value,ci_lower,ci_upper
search,true_positives,144,,
search,false_negatives,47,,
search,false_positives,1588,,
search,recall,0.7539267015706806,0.6882332451391785,0.809607051799463
search,precision,0.08314087759815242,0.07104218921978725,0.09708467212516497
abstract,true_positives,142,,
abstract,false_negatives,2,,
abstract,false_positives,645,,
abstract,recall_in_search,0.9861111111111112,0.9507765031823722,0.9961829453084451
abstract,recall_all_meta,0.743455497382199,0.6771447259258051,0.8001660742318614
abstract,precision,0.18043202033036848,0.15513784575934145,0.20883086807665294
fulltext,true_positives,139,,
fulltext,false_negatives,0,,
fulltext,false_positives,417,,
fulltext,additional_false_negatives,0,,
fulltext,missing_full_text,0,,
fulltext,incomplete_full_text,3,,
fulltext,false_negatives_all_texts,5,,
fulltext,false_negatives_fulltext_only,0,,
fulltext,omitted_incomplete_fulltext,3,,
fulltext,recall_in_search,1.0,0.9731058739190823,1
fulltext,recall_fulltext_only,1.0,0.9731058739190823,1
fulltext,absolute_recall_all_texts,0.9652777777777778,0.9212959944486863,0.9850794776782388
fulltext,recall_all_meta,0.7277486910994765,0.6605956078235026,0.7859209471627017
fulltext,precision,0.25,0.21580508538513687,0.2876258850893688
fulltext,precision_fulltext_only,0.25,0.21580508538513687,0.2876258850893688
fulltext_with_coords,true_positives,107,,
fulltext_with_coords,false_negatives,32,,
fulltext_with_coords,false_positives,238,,
fulltext_with_coords,omitted_incomplete_fulltext,3,,
fulltext_with_coords,recall_in_search,0.7697841726618705,0.6931115135485422,0.8319456126667899
fulltext_with_coords,recall_all_meta,0.5602094240837696,0.4893153052393976,0.628729301251208
fulltext_with_coords,precision,0.3101449275362319,0.26365030578799536,0.3608210875320674
