stage,metric,value,ci_lower,ci_upper
search,true_positives,74,,
search,false_negatives,0,,
search,false_positives,484,,
search,recall,1.0,0.9506484964337834,0.9999999999999998
search,precision,0.13261648745519714,0.10697132996387773,0.1632856250212996
abstract,true_positives,73,,
abstract,false_negatives,1,,
abstract,false_positives,279,,
abstract,recall_in_search,0.9864864864864865,0.9273446957024043,0.9976105981250607
abstract,recall_all_meta,0.9864864864864865,0.9273446957024043,0.9976105981250607
abstract,precision,0.20738636363636365,0.16830124540279812,0.25278948710290106
fulltext,true_positives,67,,
fulltext,false_negatives,2,,
fulltext,false_positives,115,,
fulltext,additional_false_negatives,2,,
fulltext,missing_full_text,4,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,7,,
fulltext,false_negatives_fulltext_only,2,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9710144927536232,0.9003322653873425,0.992014964766855
fulltext,recall_fulltext_only,0.9710144927536232,0.9003322653873425,0.992014964766855
fulltext,absolute_recall_all_texts,0.9054054054054054,0.8173754241201446,0.9534206540694093
fulltext,recall_all_meta,0.9054054054054054,0.8173754241201446,0.9534206540694093
fulltext,precision,0.36813186813186816,0.3014616984940503,0.4402538269857132
fulltext,precision_fulltext_only,0.36813186813186816,0.3014616984940503,0.4402538269857132
fulltext_with_coords,true_positives,34,,
fulltext_with_coords,false_negatives,35,,
fulltext_with_coords,false_positives,44,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.4927536231884058,0.3783222449110342,0.6079493361635164
fulltext_with_coords,recall_all_meta,0.4594594594594595,0.35073184428251214,0.5721885478985324
fulltext_with_coords,precision,0.4358974358974359,0.33143062712963534,0.5463821233542262
