stage,metric,value,ci_lower,ci_upper
search,true_positives,79,,
search,false_negatives,9,,
search,false_positives,1185,,
search,recall,0.8977272727272727,0.8169257242733358,0.9452561192485541
search,precision,0.0625,0.0504354099949514,0.07721586757789366
abstract,true_positives,72,,
abstract,false_negatives,7,,
abstract,false_positives,295,,
abstract,recall_in_search,0.9113924050632911,0.828214686221526,0.9564152581542464
abstract,recall_all_meta,0.8181818181818182,0.7248754936722209,0.884869981145291
abstract,precision,0.19618528610354224,0.15879236048679085,0.23987272994535053
fulltext,true_positives,44,,
fulltext,false_negatives,10,,
fulltext,false_positives,47,,
fulltext,additional_false_negatives,10,,
fulltext,missing_full_text,19,,
fulltext,incomplete_full_text,1,,
fulltext,false_negatives_all_texts,35,,
fulltext,false_negatives_fulltext_only,10,,
fulltext,omitted_incomplete_fulltext,1,,
fulltext,recall_in_search,0.8148148148148148,0.6916379770862061,0.8961742549405703
fulltext,recall_fulltext_only,0.8148148148148148,0.6916379770862061,0.8961742549405703
fulltext,absolute_recall_all_texts,0.5569620253164557,0.4473171607311567,0.661323908490104
fulltext,recall_all_meta,0.5,0.3977398665504473,0.6022601334495528
fulltext,precision,0.4835164835164835,0.3836068307058106,0.5847614802463456
fulltext,precision_fulltext_only,0.4835164835164835,0.3836068307058106,0.5847614802463456
fulltext_with_coords,true_positives,33,,
fulltext_with_coords,false_negatives,21,,
fulltext_with_coords,false_positives,31,,
fulltext_with_coords,omitted_incomplete_fulltext,1,,
fulltext_with_coords,recall_in_search,0.6111111111111112,0.4778805658150834,0.7295825749002495
fulltext_with_coords,recall_all_meta,0.375,0.2810776628624691,0.4793794720306513
fulltext_with_coords,precision,0.515625,0.3958139224399903,0.6336665143421609
