stage,metric,value,ci_lower,ci_upper
search,true_positives,56,,
search,false_negatives,32,,
search,false_positives,218,,
search,recall,0.6363636363636364,0.5321109452578119,0.7292085439496931
search,precision,0.20437956204379562,0.16087467499728098,0.25605929025486274
abstract,true_positives,56,,
abstract,false_negatives,0,,
abstract,false_positives,147,,
abstract,recall_in_search,1.0,0.9358038555118846,1
abstract,recall_all_meta,0.6363636363636364,0.5321109452578119,0.7292085439496931
abstract,precision,0.27586206896551724,0.2189720974500137,0.3410777184477555
fulltext,true_positives,53,,
fulltext,false_negatives,1,,
fulltext,false_positives,94,,
fulltext,additional_false_negatives,1,,
fulltext,missing_full_text,2,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,3,,
fulltext,false_negatives_fulltext_only,1,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9814814814814815,0.902283346415128,0.996723596684648
fulltext,recall_fulltext_only,0.9814814814814815,0.902283346415128,0.996723596684648
fulltext,absolute_recall_all_texts,0.9464285714285714,0.8539246046357077,0.9816145520713321
fulltext,recall_all_meta,0.6022727272727273,0.4978053825746995,0.6981842343309292
fulltext,precision,0.36054421768707484,0.28738689764624564,0.44080479483116114
fulltext,precision_fulltext_only,0.36054421768707484,0.28738689764624564,0.44080479483116114
fulltext_with_coords,true_positives,42,,
fulltext_with_coords,false_negatives,12,,
fulltext_with_coords,false_positives,62,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.7777777777777778,0.6506107316841219,0.8680471201042104
fulltext_with_coords,recall_all_meta,0.4772727272727273,0.37606451443681693,0.5803822373619323
fulltext_with_coords,precision,0.40384615384615385,0.3145997514967952,0.49994305944072803
