stage,metric,value,ci_lower,ci_upper
search,true_positives,127,,
search,false_negatives,44,,
search,false_positives,4754,,
search,recall,0.7426900584795322,0.6723400442709234,0.8023753552678591
search,precision,0.02601925834869904,0.021912176547292897,0.03087184822026559
abstract,true_positives,112,,
abstract,false_negatives,15,,
abstract,false_positives,1195,,
abstract,recall_in_search,0.8818897637795275,0.8142508293208697,0.927103602297209
abstract,recall_all_meta,0.6549707602339181,0.5810186801404481,0.7221128400469671
abstract,precision,0.08569242540168324,0.07170505259759588,0.10210816785558474
fulltext,true_positives,67,,
fulltext,false_negatives,1,,
fulltext,false_positives,639,,
fulltext,additional_false_negatives,1,,
fulltext,missing_full_text,24,,
fulltext,incomplete_full_text,24,,
fulltext,false_negatives_all_texts,60,,
fulltext,false_negatives_fulltext_only,1,,
fulltext,omitted_incomplete_fulltext,24,,
fulltext,recall_in_search,0.9852941176470589,0.9212883963845384,0.9973993833976493
fulltext,recall_fulltext_only,0.9852941176470589,0.9212883963845384,0.9973993833976493
fulltext,absolute_recall_all_texts,0.5275590551181102,0.4412015042102698,0.6122983001333028
fulltext,recall_all_meta,0.391812865497076,0.32179205837527286,0.4665878237580409
fulltext,precision,0.09490084985835694,0.07542155048686465,0.11876487082177657
fulltext,precision_fulltext_only,0.09490084985835694,0.07542155048686465,0.11876487082177657
fulltext_with_coords,true_positives,55,,
fulltext_with_coords,false_negatives,13,,
fulltext_with_coords,false_positives,445,,
fulltext_with_coords,omitted_incomplete_fulltext,24,,
fulltext_with_coords,recall_in_search,0.8088235294117647,0.6998913522432758,0.8847281439817526
fulltext_with_coords,recall_all_meta,0.3216374269005848,0.25620702762250214,0.3949057510297179
fulltext_with_coords,precision,0.11,0.08549101658817662,0.140456185865928
