stage,metric,value,ci_lower,ci_upper
search,true_positives,111,,
search,false_negatives,15,,
search,false_positives,9888,,
search,recall,0.8809523809523809,0.8128484274160289,0.9265139957210858
search,precision,0.0111011101110111,0.009226999901201351,0.013350744406976032
abstract,true_positives,105,,
abstract,false_negatives,6,,
abstract,false_positives,600,,
abstract,recall_in_search,0.9459459459459459,0.887062928365998,0.9749940266050229
abstract,recall_all_meta,0.8333333333333334,0.7586131775066918,0.8883289427382839
abstract,precision,0.14893617021276595,0.12456007601878286,0.17711747789453144
fulltext,true_positives,73,,
fulltext,false_negatives,8,,
fulltext,false_positives,192,,
fulltext,additional_false_negatives,8,,
fulltext,missing_full_text,15,,
fulltext,incomplete_full_text,9,,
fulltext,false_negatives_all_texts,38,,
fulltext,false_negatives_fulltext_only,8,,
fulltext,omitted_incomplete_fulltext,9,,
fulltext,recall_in_search,0.9012345679012346,0.8170331024146836,0.9491004924255834
fulltext,recall_fulltext_only,0.9012345679012346,0.8170331024146836,0.9491004924255834
fulltext,absolute_recall_all_texts,0.6576576576576577,0.5654402975469389,0.7393273127963514
fulltext,recall_all_meta,0.5793650793650794,0.49207071941351854,0.6619631187400472
fulltext,precision,0.27547169811320754,0.22517976897617858,0.33218040147363265
fulltext,precision_fulltext_only,0.27547169811320754,0.22517976897617858,0.33218040147363265
fulltext_with_coords,true_positives,64,,
fulltext_with_coords,false_negatives,17,,
fulltext_with_coords,false_positives,152,,
fulltext_with_coords,omitted_incomplete_fulltext,9,,
fulltext_with_coords,recall_in_search,0.7901234567901234,0.6893441473231284,0.8646293750998338
fulltext_with_coords,recall_all_meta,0.5079365079365079,0.4217081082666577,0.5936952755486987
fulltext_with_coords,precision,0.2962962962962963,0.23938964949645727,0.36032214299413595
