stage,metric,value,ci_lower,ci_upper
search,true_positives,238,,
search,false_negatives,0,,
search,false_positives,248,,
search,recall,1.0,0.9841152225258184,0.9999999999999999
search,precision,0.4897119341563786,0.44552287474950564,0.5340623626006908
abstract,true_positives,236,,
abstract,false_negatives,2,,
abstract,false_positives,144,,
abstract,recall_in_search,0.9915966386554622,0.9698829604625083,0.9976925104242209
abstract,recall_all_meta,0.9915966386554622,0.9698829604625083,0.9976925104242209
abstract,precision,0.6210526315789474,0.571293365561316,0.6683888366804421
fulltext,true_positives,63,,
fulltext,false_negatives,3,,
fulltext,false_positives,55,,
fulltext,additional_false_negatives,3,,
fulltext,missing_full_text,170,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,175,,
fulltext,false_negatives_fulltext_only,3,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9545454545454546,0.8746648398478928,0.9844220081051896
fulltext,recall_fulltext_only,0.9545454545454546,0.8746648398478928,0.9844220081051896
fulltext,absolute_recall_all_texts,0.2647058823529412,0.21271440083869417,0.32417255326680294
fulltext,recall_all_meta,0.2647058823529412,0.21271440083869417,0.32417255326680294
fulltext,precision,0.5338983050847458,0.4442446506155119,0.6214143689640078
fulltext,precision_fulltext_only,0.5338983050847458,0.4442446506155119,0.6214143689640078
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,66,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.05500446725160935
fulltext_with_coords,recall_all_meta,0.0,0,0.015884777474181447
fulltext_with_coords,precision,0,0.0,0.0
