stage,metric,value,ci_lower,ci_upper
search,true_positives,223,,
search,false_negatives,15,,
search,false_positives,777,,
search,recall,0.9369747899159664,0.898629319936815,0.9614377652958329
search,precision,0.223,0.1982876964779375,0.2498324053389229
abstract,true_positives,222,,
abstract,false_negatives,1,,
abstract,false_positives,475,,
abstract,recall_in_search,0.9955156950672646,0.9750401183223476,0.9992079913718181
abstract,recall_all_meta,0.9327731092436975,0.8935976375673758,0.9581995718457277
abstract,precision,0.31850789096126253,0.28499492930094705,0.3540105178642897
fulltext,true_positives,51,,
fulltext,false_negatives,3,,
fulltext,false_positives,129,,
fulltext,additional_false_negatives,3,,
fulltext,missing_full_text,168,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,172,,
fulltext,false_negatives_fulltext_only,3,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9444444444444444,0.8489254853651705,0.980927077496161
fulltext,recall_fulltext_only,0.9444444444444444,0.8489254853651705,0.980927077496161
fulltext,absolute_recall_all_texts,0.22869955156950672,0.17844513016457686,0.2881430088716493
fulltext,recall_all_meta,0.21428571428571427,0.1669101017678661,0.27073834250309464
fulltext,precision,0.2833333333333333,0.22256462100585814,0.35315708724733375
fulltext,precision_fulltext_only,0.2833333333333333,0.22256462100585814,0.35315708724733375
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,54,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.06641586678100192
fulltext_with_coords,recall_all_meta,0.0,0,0.015884777474181447
fulltext_with_coords,precision,0,0.0,0.0
