stage,metric,value,ci_lower,ci_upper
search,true_positives,238,,
search,false_negatives,0,,
search,false_positives,827,,
search,recall,1.0,0.9841152225258184,0.9999999999999999
search,precision,0.22347417840375586,0.19947412337572545,0.24946199587711793
abstract,true_positives,237,,
abstract,false_negatives,1,,
abstract,false_positives,488,,
abstract,recall_in_search,0.9957983193277311,0.9765874128692085,0.9992579338370651
abstract,recall_all_meta,0.9957983193277311,0.9765874128692085,0.9992579338370651
abstract,precision,0.32689655172413795,0.2937413628089311,0.361876538254894
fulltext,true_positives,220,,
fulltext,false_negatives,1,,
fulltext,false_positives,322,,
fulltext,additional_false_negatives,1,,
fulltext,missing_full_text,1,,
fulltext,incomplete_full_text,15,,
fulltext,false_negatives_all_texts,18,,
fulltext,false_negatives_fulltext_only,1,,
fulltext,omitted_incomplete_fulltext,15,,
fulltext,recall_in_search,0.995475113122172,0.9748182228803925,0.9992008198590294
fulltext,recall_fulltext_only,0.995475113122172,0.9748182228803925,0.9992008198590294
fulltext,absolute_recall_all_texts,0.9243697478991597,0.883629447025519,0.9516280107484951
fulltext,recall_all_meta,0.9243697478991597,0.883629447025519,0.9516280107484951
fulltext,precision,0.4059040590405904,0.3653642480742333,0.44776835303202167
fulltext,precision_fulltext_only,0.4059040590405904,0.3653642480742333,0.44776835303202167
fulltext_with_coords,true_positives,153,,
fulltext_with_coords,false_negatives,68,,
fulltext_with_coords,false_positives,176,,
fulltext_with_coords,omitted_incomplete_fulltext,15,,
fulltext_with_coords,recall_in_search,0.6923076923076923,0.6286036183466077,0.7494403023513414
fulltext_with_coords,recall_all_meta,0.6428571428571429,0.5801547461230793,0.7010210317414404
fulltext_with_coords,precision,0.46504559270516715,0.4118624886127261,0.5190355722065944
