stage,metric,value,ci_lower,ci_upper
search,true_positives,238,,
search,false_negatives,0,,
search,false_positives,827,,
search,recall,1.0,0.9841152225258184,0.9999999999999999
search,precision,0.22347417840375586,0.19947412337572545,0.24946199587711793
abstract,true_positives,237,,
abstract,false_negatives,1,,
abstract,false_positives,488,,
abstract,recall_in_search,0.9957983193277311,0.9765874128692085,0.9992579338370651
abstract,recall_all_meta,0.9957983193277311,0.9765874128692085,0.9992579338370651
abstract,precision,0.32689655172413795,0.2937413628089311,0.361876538254894
fulltext,true_positives,234,,
fulltext,false_negatives,2,,
fulltext,false_positives,347,,
fulltext,additional_false_negatives,2,,
fulltext,missing_full_text,0,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,4,,
fulltext,false_negatives_fulltext_only,2,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9915254237288136,0.9696321585901455,0.9976729294346176
fulltext,recall_fulltext_only,0.9915254237288136,0.9696321585901455,0.9976729294346176
fulltext,absolute_recall_all_texts,0.9831932773109243,0.9575903339090249,0.9934453853386146
fulltext,recall_all_meta,0.9831932773109243,0.9575903339090249,0.9934453853386146
fulltext,precision,0.4027538726333907,0.3636378475949233,0.4431474426443482
fulltext,precision_fulltext_only,0.4027538726333907,0.3636378475949233,0.4431474426443482
fulltext_with_coords,true_positives,134,,
fulltext_with_coords,false_negatives,102,,
fulltext_with_coords,false_positives,170,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.5677966101694916,0.5040060914059912,0.6294153000457003
fulltext_with_coords,recall_all_meta,0.5630252100840336,0.49950127677590717,0.6245468605172632
fulltext_with_coords,precision,0.4407894736842105,0.3860614272827527,0.49699531358657745
