stage,metric,value,ci_lower,ci_upper
search,true_positives,18,,
search,false_negatives,4,,
search,false_positives,126,,
search,recall,0.8181818181818182,0.6148297802336213,0.9269323397589488
search,precision,0.125,0.08055000891669836,0.1889384165332427
abstract,true_positives,18,,
abstract,false_negatives,0,,
abstract,false_positives,71,,
abstract,recall_in_search,1.0,0.8241154494176252,1
abstract,recall_all_meta,0.8181818181818182,0.6148297802336213,0.9269323397589488
abstract,precision,0.20224719101123595,0.1319367734752211,0.29719844177311583
fulltext,true_positives,16,,
fulltext,false_negatives,1,,
fulltext,false_positives,18,,
fulltext,additional_false_negatives,1,,
fulltext,missing_full_text,1,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,2,,
fulltext,false_negatives_fulltext_only,1,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9411764705882353,0.730174547964372,0.9895398693548358
fulltext,recall_fulltext_only,0.9411764705882353,0.730174547964372,0.9895398693548358
fulltext,absolute_recall_all_texts,0.8888888888888888,0.6719975513339578,0.9689811315464172
fulltext,recall_all_meta,0.7272727272727273,0.5184787630099802,0.8684941798418556
fulltext,precision,0.47058823529411764,0.31451251633111366,0.6326355957994516
fulltext,precision_fulltext_only,0.47058823529411764,0.31451251633111366,0.6326355957994516
fulltext_with_coords,true_positives,8,,
fulltext_with_coords,false_negatives,9,,
fulltext_with_coords,false_positives,5,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.47058823529411764,0.26164801196088106,0.6903710268845051
fulltext_with_coords,recall_all_meta,0.36363636363636365,0.19732972772607899,0.5704865065628195
fulltext_with_coords,precision,0.6153846153846154,0.3552248097226855,0.8229055341876319
