stage,metric,value,ci_lower,ci_upper
search,true_positives,71,,
search,false_negatives,8,,
search,false_positives,576,,
search,recall,0.8987341772151899,0.8126986682072592,0.9477888163415664
search,precision,0.10973724884080371,0.08791709746211053,0.13616446093858178
abstract,true_positives,67,,
abstract,false_negatives,4,,
abstract,false_positives,194,,
abstract,recall_in_search,0.9436619718309859,0.8639019960075405,0.9778758387795299
abstract,recall_all_meta,0.8481012658227848,0.7529994484509047,0.9109181967901335
abstract,precision,0.2567049808429119,0.20750672584117988,0.31296135772273154
fulltext,true_positives,60,,
fulltext,false_negatives,1,,
fulltext,false_positives,66,,
fulltext,additional_false_negatives,1,,
fulltext,missing_full_text,7,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,11,,
fulltext,false_negatives_fulltext_only,1,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9836065573770492,0.9128093437223194,0.997100343885636
fulltext,recall_fulltext_only,0.9836065573770492,0.9128093437223194,0.997100343885636
fulltext,absolute_recall_all_texts,0.8450704225352113,0.7434882267163929,0.9112278670068841
fulltext,recall_all_meta,0.759493670886076,0.6546409953317426,0.8402794311206679
fulltext,precision,0.47619047619047616,0.39098550347951744,0.5628043450744129
fulltext,precision_fulltext_only,0.47619047619047616,0.39098550347951744,0.5628043450744129
fulltext_with_coords,true_positives,52,,
fulltext_with_coords,false_negatives,9,,
fulltext_with_coords,false_positives,27,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.8524590163934426,0.7427653049810489,0.920389213106105
fulltext_with_coords,recall_all_meta,0.6582278481012658,0.548488933568034,0.7532918142688015
fulltext_with_coords,precision,0.6582278481012658,0.548488933568034,0.7532918142688015
