project_name,run_name,version,stage,recall,precision,f1
cue_reactivity,v1,1,fulltext,0.617801,0.312169,0.414763
cue_reactivity,v2,2,fulltext,0.643979,0.326260,0.433099
cue_reactivity,v3,3,fulltext,0.638743,0.320210,0.426573
cue_reactivity,v4,4,fulltext,0.643979,0.324538,0.431579
cue_reactivity,v5,5,fulltext,0.717277,0.321596,0.444084
cue_reactivity,v5-recent,5,fulltext,0.727749,0.250000,0.372155
cue_reactivity,v6,6,fulltext,0.853403,0.248097,0.384434
decision_making,v1,1,fulltext,0.549020,0.193548,0.286201
decision_making,v2,2,fulltext,0.542484,0.191686,0.283276
decision_making,v3,3,fulltext,0.555556,0.218509,0.313653
dementia,v1,1,fulltext,0.837838,0.268398,0.406557
dementia,v1-allstudies,1,fulltext,0.905405,0.368132,0.523438
dementia,v2,2,fulltext,0.851351,0.384146,0.529412
dementia,v2-allstudies,2,fulltext,0.905405,0.482014,0.629108
dementia,v3,3,fulltext,0.851351,0.401274,0.545455
dementia,v3-allstudies,3,fulltext,0.891892,0.468085,0.613953
dementia,v4-allstudies,4,fulltext,0.905405,0.426752,0.580087
dementia,v5-allstudies,5,fulltext,0.905405,0.426752,0.580087
emotion_regulation_2022,v1-allstudies,1,fulltext,0.238636,0.466667,0.315789
emotion_regulation_2022,v2,2,fulltext,0.500000,0.483516,0.491620
emotion_regulation_2022,v2-allstudies,2,fulltext,0.477273,0.567568,0.518519
emotion_regulation_2022,v4,4,fulltext,0.829545,0.239344,0.371501
emotion_regulation_2022,v4-allstudies,4,fulltext,0.602273,0.360544,0.451064
executive_function,v1,1,fulltext,0.327485,0.111111,0.165926
executive_function,v1-2010,1,fulltext,0.321637,0.078125,0.125714
executive_function,v2,2,fulltext,0.385965,0.094286,0.151550
executive_function,v3,3,fulltext,0.391813,0.094901,0.152794
problem_solving,v1,1,fulltext,0.579365,0.275472,0.373402
problem_solving,v2,2,fulltext,0.579365,0.274436,0.372449
social,v2,2,fulltext,0.869748,0.405882,0.553476
social,v2-all_pmids,2,fulltext,0.915966,0.694268,0.789855
social,v3,3,fulltext,0.928571,0.406250,0.565217
social,v3-all_pmids,3,fulltext,0.928571,0.688474,0.790698
social,v3-all_pmids-multi_analysis-ft-gpt52,3,fulltext,0.915966,0.685535,0.784173
social,v3-allstudies,3,fulltext,0.970588,0.685460,0.803478
vbm_of_ptsd,v1,1,fulltext,0.761905,0.592593,0.666667
vbm_of_ptsd,v1-recent,1,fulltext,0.761905,0.470588,0.581818
vbm_of_substance_use,v1,1,fulltext,0.784810,0.455882,0.576744
vbm_of_substance_use,v2,2,fulltext,0.797468,0.434483,0.562500
vbm_of_substance_use,v2-recent,2,fulltext,0.746835,0.318919,0.446970
