project_name,run_name,version,stage,metric,value
dementia,v3-allstudies,3,search,recall,1.000000
dementia,v3-allstudies,3,search,precision,0.136194
dementia,v3-allstudies,3,search,f1,0.239737
dementia,v3-allstudies,3,abstract,recall,0.986301
dementia,v3-allstudies,3,abstract,precision,0.243243
dementia,v3-allstudies,3,abstract,f1,0.390244
dementia,v3-allstudies,3,fulltext,recall,0.955882
dementia,v3-allstudies,3,fulltext,precision,0.507812
dementia,v3-allstudies,3,fulltext,f1,0.663265
emotional_regulation_2022,v3-allstudies,3,search,recall,0.636364
emotional_regulation_2022,v3-allstudies,3,search,precision,0.204380
emotional_regulation_2022,v3-allstudies,3,search,f1,0.309392
emotional_regulation_2022,v3-allstudies,3,abstract,recall,0.892857
emotional_regulation_2022,v3-allstudies,3,abstract,precision,0.328947
emotional_regulation_2022,v3-allstudies,3,abstract,f1,0.480769
emotional_regulation_2022,v3-allstudies,3,fulltext,recall,0.404255
emotional_regulation_2022,v3-allstudies,3,fulltext,precision,0.575758
emotional_regulation_2022,v3-allstudies,3,fulltext,f1,0.475000
