project_name,run_name,version,stage,metric,value
cue_reactivity,v6,6,search,recall,0.931937
cue_reactivity,v6,6,search,precision,0.091753
cue_reactivity,v6,6,search,f1,0.167058
cue_reactivity,v6,6,abstract,recall,0.977528
cue_reactivity,v6,6,abstract,precision,0.167954
cue_reactivity,v6,6,abstract,f1,0.286656
cue_reactivity,v6,6,fulltext,recall,0.970238
cue_reactivity,v6,6,fulltext,precision,0.248097
cue_reactivity,v6,6,fulltext,f1,0.395152
decision_making,v3,3,search,recall,0.601307
decision_making,v3,3,search,precision,0.119636
decision_making,v3,3,search,f1,0.199566
decision_making,v3,3,abstract,recall,1.000000
decision_making,v3,3,abstract,precision,0.158348
decision_making,v3,3,abstract,f1,0.273403
decision_making,v3,3,fulltext,recall,0.977011
decision_making,v3,3,fulltext,precision,0.218509
decision_making,v3,3,fulltext,f1,0.357143
dementia,v3,3,search,recall,0.959459
dementia,v3,3,search,precision,0.035027
dementia,v3,3,search,f1,0.067587
dementia,v3,3,abstract,recall,0.985915
dementia,v3,3,abstract,precision,0.135135
dementia,v3,3,abstract,f1,0.237691
dementia,v3,3,fulltext,recall,0.954545
dementia,v3,3,fulltext,precision,0.401274
dementia,v3,3,fulltext,f1,0.565022
emotion_regulation_2022,v4,4,search,recall,0.897727
emotion_regulation_2022,v4,4,search,precision,0.062500
emotion_regulation_2022,v4,4,search,f1,0.116864
emotion_regulation_2022,v4,4,abstract,recall,1.000000
emotion_regulation_2022,v4,4,abstract,precision,0.141071
emotion_regulation_2022,v4,4,abstract,f1,0.247261
emotion_regulation_2022,v4,4,fulltext,recall,0.973333
emotion_regulation_2022,v4,4,fulltext,precision,0.239344
emotion_regulation_2022,v4,4,fulltext,f1,0.384211
executive_function,v3,3,search,recall,0.742690
executive_function,v3,3,search,precision,0.026019
executive_function,v3,3,search,f1,0.050277
executive_function,v3,3,abstract,recall,0.881890
executive_function,v3,3,abstract,precision,0.085692
executive_function,v3,3,abstract,f1,0.156206
executive_function,v3,3,fulltext,recall,0.985294
executive_function,v3,3,fulltext,precision,0.094901
executive_function,v3,3,fulltext,f1,0.173127
problem_solving,v2,2,search,recall,0.880952
problem_solving,v2,2,search,precision,0.011101
problem_solving,v2,2,search,f1,0.021926
problem_solving,v2,2,abstract,recall,0.945946
problem_solving,v2,2,abstract,precision,0.148936
problem_solving,v2,2,abstract,f1,0.257353
problem_solving,v2,2,fulltext,recall,0.901235
problem_solving,v2,2,fulltext,precision,0.274436
problem_solving,v2,2,fulltext,f1,0.420749
social,v3,3,search,recall,0.949580
social,v3,3,search,precision,0.220703
social,v3,3,search,f1,0.358162
social,v3,3,abstract,recall,0.995575
social,v3,3,abstract,precision,0.325615
social,v3,3,abstract,f1,0.490731
social,v3,3,fulltext,recall,0.995495
social,v3,3,fulltext,precision,0.406250
social,v3,3,fulltext,f1,0.577023
vbm_of_ptsd,v1,1,search,recall,0.857143
vbm_of_ptsd,v1,1,search,precision,0.246575
vbm_of_ptsd,v1,1,search,f1,0.382979
vbm_of_ptsd,v1,1,abstract,recall,1.000000
vbm_of_ptsd,v1,1,abstract,precision,0.346154
vbm_of_ptsd,v1,1,abstract,f1,0.514286
vbm_of_ptsd,v1,1,fulltext,recall,0.941176
vbm_of_ptsd,v1,1,fulltext,precision,0.592593
vbm_of_ptsd,v1,1,fulltext,f1,0.727273
vbm_of_substance_use,v2,2,search,recall,0.898734
vbm_of_substance_use,v2,2,search,precision,0.109737
vbm_of_substance_use,v2,2,search,f1,0.195592
vbm_of_substance_use,v2,2,abstract,recall,0.943662
vbm_of_substance_use,v2,2,abstract,precision,0.257692
vbm_of_substance_use,v2,2,abstract,f1,0.404834
vbm_of_substance_use,v2,2,fulltext,recall,0.969231
vbm_of_substance_use,v2,2,fulltext,precision,0.434483
vbm_of_substance_use,v2,2,fulltext,f1,0.600000
