project,canonical_run,fixed_run,stage,n_false_positives,fp_considered_and_rejected,fp_never_considered,frac_never_considered,fixed_pool_n,gold_in_fixed_pool,gold_total,pool_is_full_candidate_set
dementia,v3,v5-allstudies,search,1956,469,1487,0.760225,558,74,74,yes
dementia,v3,v5-allstudies,abstract,448,268,180,0.401786,558,74,74,yes
dementia,v3,v5-allstudies,fulltext,94,69,25,0.265957,558,74,74,yes
dementia,v3,v5-allstudies,annotation,18,10,8,0.444444,558,74,74,yes
emotion_regulation_2022,v4,v4-allstudies,search,1185,200,985,0.831224,274,56,88,no
emotion_regulation_2022,v4,v4-allstudies,abstract,481,145,336,0.698545,274,56,88,no
emotion_regulation_2022,v4,v4-allstudies,fulltext,232,95,137,0.590517,274,56,88,no
emotion_regulation_2022,v4,v4-allstudies,annotation,92,37,55,0.597826,274,56,88,no
social,v3,v3-allstudies,search,798,219,579,0.725564,486,238,238,yes
social,v3,v3-allstudies,abstract,466,129,337,0.723176,486,238,238,yes
social,v3,v3-allstudies,fulltext,323,100,223,0.690402,486,238,238,yes
social,v3,v3-allstudies,annotation,132,28,104,0.787879,486,238,238,yes
