pmid,project,status,publisher
11515754,cue_reactivity,text_no_coords,doi.org
15465974,cue_reactivity,text_no_coords,psychiatryonline.org
16167185,cue_reactivity,text_no_coords,doi.org
21672322,cue_reactivity,text_no_coords,journals.sagepub.com
11549754,cue_reactivity,text_no_coords,pmc
17469913,cue_reactivity,no_text,content.apa.org
11133312,decision_making,no_text,elsevier
11906224,decision_making,no_text,elsevier
14700259,decision_making,no_text,journals.sagepub.com
18572984,decision_making,no_text,psychiatrist.com
19587274,decision_making,has_coords,pmc
19897796,decision_making,no_text,unresolved
20805539,decision_making,no_text,unresolved
21534685,decision_making,no_text,pmc
15084791,dementia,no_text,doi.org
16534207,dementia,no_text,doi.org
25511791,dementia,no_text,jnnp.bmj.com
26859768,dementia,no_text,doi.org
17488204,emotion_regulation_2022,text_no_coords,direct.mit.edu
11549754,emotion_regulation_2022,text_no_coords,pmc
12495527,emotion_regulation_2022,no_text,direct.mit.edu
12644355,emotion_regulation_2022,has_coords,elsevier
15501593,emotion_regulation_2022,has_coords,elsevier
16249098,emotion_regulation_2022,has_coords,elsevier
18817740,emotion_regulation_2022,has_coords,pmc
19555702,emotion_regulation_2022,has_coords,elsevier
19589502,emotion_regulation_2022,text_no_coords,elsevier
19651401,emotion_regulation_2022,has_coords,pmc
19883494,emotion_regulation_2022,has_coords,pmc
19969089,emotion_regulation_2022,has_coords,elsevier
20674090,emotion_regulation_2022,text_no_coords,elsevier
21106812,emotion_regulation_2022,has_coords,pmc
21712804,emotion_regulation_2022,has_coords,doi.org
21896496,emotion_regulation_2022,has_coords,pmc
21907809,emotion_regulation_2022,has_coords,elsevier
21998031,emotion_regulation_2022,text_no_coords,pmc
22401827,emotion_regulation_2022,has_coords,pmc
23887812,emotion_regulation_2022,has_coords,pmc
24493837,emotion_regulation_2022,has_coords,pmc
25997918,emotion_regulation_2022,text_no_coords,cambridge.org
27819447,emotion_regulation_2022,no_text,content.apa.org
28045309,emotion_regulation_2022,no_text,content.apa.org
31305099,emotion_regulation_2022,no_text,unresolved
33529742,emotion_regulation_2022,has_coords,elsevier
10600415,executive_function,text_no_coords,unresolved
11133306,executive_function,text_no_coords,unresolved
11697946,executive_function,text_no_coords,unresolved
11702561,executive_function,text_no_coords,unresolved
11707086,executive_function,text_no_coords,unresolved
12139955,executive_function,text_no_coords,unresolved
12377154,executive_function,text_no_coords,unresolved
12414261,executive_function,text_no_coords,unresolved
12498755,executive_function,text_no_coords,unresolved
12507442,executive_function,text_no_coords,unresolved
14674880,executive_function,text_no_coords,content.apa.org
8232848,executive_function,text_no_coords,unresolved
8524452,executive_function,text_no_coords,unresolved
9038284,executive_function,text_no_coords,unresolved
9299382,executive_function,text_no_coords,unresolved
9343594,executive_function,text_no_coords,unresolved
9343611,executive_function,text_no_coords,unresolved
9345478,executive_function,text_no_coords,unresolved
9626670,executive_function,text_no_coords,unresolved
9704265,executive_function,text_no_coords,pmc
9758739,executive_function,text_no_coords,unresolved
9927550,executive_function,text_no_coords,unresolved
10349294,executive_function,no_text,unresolved
