pmid,project,route,url,http,bytes,tables,paras,verdict,year,p_tables
17469913,cue_reactivity,other,http://content.apa.org/journals/bne/121/2/237,200,1039,0,0,thin/landing only,2007,0.634
11133312,decision_making,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(00)90667-0,200,2726,0,0,thin/landing only,2001,0.524
11906224,decision_making,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053811901910316,200,2745,0,0,thin/landing only,2002,0.524
14700259,decision_making,other,https://journals.sagepub.com/doi/10.1068/p3427?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6076,0,0,http 403,2003,0.524
18572984,decision_making,other,http://www.psychiatrist.com/jcp/article/pages/2008/v69n07/v69n0708.aspx,404,62766,0,1,http 404,2008,0.634
19587274,decision_making,pmc,http://www.jneurosci.org/cgi/pmidlookup?view=long&pmid=19587274,200,457024,0,62,"HTML text, no tables",2009,0.634
19897796,decision_making,no-link,,,0,0,0,no publisher url,2009,0.634
20805539,decision_making,no-link,,,0,0,0,no publisher url,2010,0.727
21534685,decision_making,pmc,https://content.apa.org/journals/neu/25/5/622,200,1035,0,0,thin/landing only,2011,0.727
15084791,dementia,other,https://doi.org/10.1159/000077732,403,5701,0,0,http 403,2004,0.524
16534207,dementia,other,https://doi.org/10.1159/000091898,403,5701,0,0,http 403,2006,0.634
25511791,dementia,other,https://jnnp.bmj.com/lookup/pmidlookup?view=long&pmid=25511791,429,12355,0,1,http 429,2015,0.746
26859768,dementia,other,https://doi.org/10.1159/000441918,403,5701,0,0,http 403,2016,0.746
12495527,emotion_regulation_2022,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/089892902760807212,403,5789,0,0,http 403,2002,0.524
27819447,emotion_regulation_2022,other,https://content.apa.org/journals/emo/17/3/421,200,1031,0,0,thin/landing only,2017,0.746
28045309,emotion_regulation_2022,other,http://content.apa.org/journals/cdp/23/1/36,200,1037,0,0,thin/landing only,2017,0.746
31305099,emotion_regulation_2022,no-link,,,0,0,0,no publisher url,2019,0.746
10349294,executive_function,no-link,,,0,0,0,no publisher url,1999,0.37
10511450,executive_function,other,https://www.ovid.com/10.1097/00001756-199909090-00026,200,142056,0,1,thin/landing only,1999,0.37
10574350,executive_function,other,https://www.ovid.com/10.1097/00001756-199908200-00003,200,153685,0,1,thin/landing only,1999,0.37
10769312,executive_function,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/089892900561931,403,5780,0,0,http 403,2000,0.524
10806026,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(00)90569-X,200,2788,0,0,thin/landing only,2000,0.524
11002353,executive_function,other,https://doi.org/10.1002/1097-0029(20001001)51:1<54::AID-JEMT6>3.0.CO;2-J,403,5904,0,0,http 403,2000,0.524
11069306,executive_function,pmc,https://www.pnas.org/doi/10.1073/pnas.240460497?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6095,0,0,http 403,2000,0.524
11113037,executive_function,other,https://academic.oup.com/cercor/article-lookup/doi/10.1093/cercor/11.1.85,403,5785,0,0,http 403,2001,0.524
11133306,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053811900906657,200,2694,0,0,thin/landing only,2001,0.524
11162266,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(00)90685-2,200,2729,0,0,thin/landing only,2001,0.524
