pmid,projects,tier,year,route,p_tables,already_tried,next_action
24068551,dementia,excluded,2015,pmc,0.747,elsevier-skipped,manual: pmc via browser
24329034,dementia,excluded,2015,pmc,0.747,elsevier-skipped,manual: pmc via browser
24526181,cue_reactivity;decision_making;emotion_regulation_2022,excluded,2015,unknown,0.747,html-saved-no-tables,manual: re-save (current copy lacks tables)
24592963,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
24606031,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
24612094,vbm_of_substance_use,excluded,2015,other,0.747,nothing,manual: publisher html
24945709,cue_reactivity,excluded,2015,elsevier,0.747,elsevier-skipped,manual: publisher html
24984958,decision_making,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
25140560,dementia,excluded,2015,unknown,0.747,elsevier-skipped;html-saved-no-tables,manual: re-save (current copy lacks tables)
25182743,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25183555,cue_reactivity,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
25223844,emotion_regulation_2022,excluded,2015,other,0.747,nothing,manual: publisher html
25261445,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25298199,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25323700,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25352166,emotion_regulation_2022,excluded,2015,other,0.747,nothing,manual: publisher html
25362525,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25373846,dementia,excluded,2015,unknown,0.747,elsevier-skipped;html-saved-no-tables,manual: re-save (current copy lacks tables)
25377694,dementia,excluded,2015,pmc,0.747,elsevier-skipped,manual: pmc via browser
25449529,dementia,excluded,2015,other,0.747,elsevier-success;text-only,manual: publisher html
25482157,dementia,excluded,2015,pmc,0.747,elsevier-skipped,manual: pmc via browser
25536905,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25556214,cue_reactivity,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
25572411,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25618904,dementia,excluded,2016,other,0.747,elsevier-skipped,manual: publisher html
25629415,dementia,excluded,2015,pmc,0.747,elsevier-skipped,manual: pmc via browser
25632140,cue_reactivity,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
25644499,cue_reactivity,excluded,2015,other,0.747,nothing,manual: publisher html
25646866,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25651064,vbm_of_substance_use,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
25654501,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25655625,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25661058,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25664726,cue_reactivity,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
25672482,vbm_of_substance_use,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
25715271,emotion_regulation_2022,excluded,2015,elsevier,0.747,elsevier-success;text-only,manual: publisher html
25727497,cue_reactivity,excluded,2015,other,0.747,nothing,manual: publisher html
25733379,cue_reactivity,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
25768099,cue_reactivity,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
25769320,vbm_of_substance_use,excluded,2015,other,0.747,nothing,manual: publisher html
25812933,cue_reactivity,excluded,2015,elsevier,0.747,elsevier-success;text-only,manual: publisher html
25814469,vbm_of_substance_use,excluded,2015,other,0.747,nothing,manual: publisher html
25817631,dementia,excluded,2015,pmc,0.747,elsevier-skipped,manual: pmc via browser
25827959,emotion_regulation_2022,excluded,2015,unknown,0.747,elsevier-success;html-saved-no-tables,manual: re-save (current copy lacks tables)
25835426,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
25856740,emotion_regulation_2022,excluded,2015,other,0.747,nothing,manual: publisher html
25860658,emotion_regulation_2022,excluded,2015,other,0.747,nothing,manual: publisher html
25901203,vbm_of_substance_use,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
25903500,emotion_regulation_2022,excluded,2015,other,0.747,nothing,manual: publisher html
25959039,emotion_regulation_2022,excluded,2015,other,0.747,nothing,manual: publisher html
25983400,emotion_regulation_2022,excluded,2015,unknown,0.747,html-saved-no-tables,manual: re-save (current copy lacks tables)
25987330,cue_reactivity,excluded,2015,other,0.747,nothing,manual: publisher html
25988463,dementia,excluded,2015,pmc,0.747,elsevier-skipped,manual: pmc via browser
25995480,cue_reactivity,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
26022857,cue_reactivity,excluded,2015,other,0.747,nothing,manual: publisher html
26026289,cue_reactivity,excluded,2016,other,0.747,nothing,manual: publisher html
26028194,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
26055632,decision_making,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
26063911,dementia,excluded,2015,pmc,0.747,elsevier-skipped,manual: pmc via browser
26078386,emotion_regulation_2022,excluded,2016,unknown,0.747,html-saved-no-tables,manual: re-save (current copy lacks tables)
26088967,vbm_of_substance_use,excluded,2016,pmc,0.747,nothing,manual: pmc via browser
26092521,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
26099619,cue_reactivity,excluded,2016,other,0.747,nothing,manual: publisher html
26200045,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
26228524,vbm_of_substance_use,excluded,2016,pmc,0.747,nothing,manual: pmc via browser
26275067,dementia,excluded,2016,other,0.747,elsevier-skipped,manual: publisher html
26284764,dementia,excluded,2016,unknown,0.747,elsevier-skipped;html-saved-no-tables,manual: re-save (current copy lacks tables)
26293889,cue_reactivity,excluded,2015,other,0.747,nothing,manual: publisher html
26299160,dementia,excluded,2016,elsevier,0.747,elsevier-success;text-only,manual: publisher html
26311395,vbm_of_substance_use,excluded,2016,other,0.747,nothing,manual: publisher html
26324898,dementia,excluded,2015,pmc,0.747,elsevier-skipped,manual: pmc via browser
26344059,dementia,excluded,2015,pmc,0.747,elsevier-skipped,manual: pmc via browser
26350468,cue_reactivity,excluded,2016,pmc,0.747,nothing,manual: pmc via browser
26354322,dementia,excluded,2016,other,0.747,elsevier-skipped,manual: publisher html
26354924,decision_making,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
26362247,dementia,excluded,2017,other,0.747,elsevier-skipped,manual: publisher html
26399236,vbm_of_substance_use,excluded,2016,other,0.747,nothing,manual: publisher html
26401701,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
26402116,dementia,excluded,2015,other,0.747,elsevier-skipped,manual: publisher html
26404018,vbm_of_substance_use,excluded,2016,pmc,0.747,nothing,manual: pmc via browser
26452682,cue_reactivity,excluded,2016,other,0.747,nothing,manual: publisher html
26454815,cue_reactivity,excluded,2016,pmc,0.747,nothing,manual: pmc via browser
26478196,cue_reactivity,excluded,2015,other,0.747,nothing,manual: publisher html
26484929,dementia,excluded,2016,other,0.747,elsevier-skipped,manual: publisher html
26488590,decision_making,excluded,2016,other,0.747,nothing,manual: publisher html
26489979,cue_reactivity,excluded,2016,other,0.747,nothing,manual: publisher html
26530221,vbm_of_substance_use,excluded,2016,other,0.747,nothing,manual: publisher html
26530404,cue_reactivity,excluded,2015,pmc,0.747,nothing,manual: pmc via browser
