# A unit counts as producing a corrupted contrast<->map training pair if it carries any of: over_split, under_split_merge, misattribution, spurious_unit. Partial coordinate error and missed unit are excluded by design -- a partially wrong peak list or an absent analysis doesn't corrupt an *existing* pair the way a wrong unit boundary or wrong coordinate attachment does.
scope,key,corrupted,total,rate
overall,,32,59,0.5423728813559322
project,cue_reactivity,10,20,0.5
project,problem_solving,2,6,0.3333333333333333
project,social,16,29,0.5517241379310345
project,vbm_of_substance_use,4,4,1.0
trigger,crowding=1-2,1,1,1.0
trigger,crowding=11+,10,22,0.45454545454545453
trigger,crowding=3-5,12,18,0.6666666666666666
trigger,crowding=6-10,9,18,0.5
trigger,footnote_carried_context=false,32,59,0.5423728813559322
trigger,multi_header=false,32,59,0.5423728813559322
trigger,spans_multiple_tables=false,32,59,0.5423728813559322
