project,disposition,label,analysis_count,paper_count,percent_of_project_reviewed
cue_reactivity,parser_missed,Parser missed / misparsed analysis,20,15,34.483
cue_reactivity,supplemental_data,Supplemental-only source,14,10,24.138
cue_reactivity,gold_standard_error,Gold standard error,13,13,22.414
cue_reactivity,source_material_missing,Source material missing,8,7,13.793
cue_reactivity,out_of_scope,Out of scope,2,1,3.448
cue_reactivity,uncertain,Uncertain,1,1,1.724
dementia,expected_difference,Expected source/curation difference,2,1,40.000
dementia,supplemental_data,Supplemental-only source,2,1,40.000
dementia,gold_standard_error,Gold standard error,1,1,20.000
problem_solving,expected_difference,Expected source/curation difference,6,2,42.857
problem_solving,parser_missed,Parser missed / misparsed analysis,6,4,42.857
problem_solving,source_material_missing,Source material missing,1,1,7.143
problem_solving,supplemental_data,Supplemental-only source,1,1,7.143
social,supplemental_data,Supplemental-only source,50,16,54.348
social,parser_missed,Parser missed / misparsed analysis,26,12,28.261
social,source_material_missing,Source material missing,8,7,8.696
social,gold_standard_error,Gold standard error,4,4,4.348
social,matching_error,Matching error; both analyses correct,3,3,3.261
social,expected_difference,Expected source/curation difference,1,1,1.087
vbm_of_ptsd,out_of_scope,Out of scope,1,1,100.000
vbm_of_substance_use,source_material_missing,Source material missing,6,6,40.000
vbm_of_substance_use,parser_missed,Parser missed / misparsed analysis,4,4,26.667
vbm_of_substance_use,gold_standard_error,Gold standard error,3,3,20.000
vbm_of_substance_use,out_of_scope,Out of scope,1,1,6.667
vbm_of_substance_use,supplemental_data,Supplemental-only source,1,1,6.667
