project,manual_annotation,strategy,query,neuroquery_r2,neurovlm_r2
cue_reactivity,1_reward_neutral_2020_wbonly,preregistered,cue reactivity,0.04188,0.315755
cue_reactivity,1_reward_neutral_2020_wbonly,column_name,pooled cue reactivity,0.04188,0.214345
cue_reactivity,1_reward_neutral_2020_wbonly,project+column,cue reactivity pooled cue reactivity,0.04188,0.21472
cue_reactivity,1_reward_neutral_2020_wbonly,head_term,cue reactivity,0.04188,0.315755
cue_reactivity,1_reward_neutral_2020_wbonly,plus_modality,cue reactivity fmri activation,0.04305,0.30694
cue_reactivity,2_drug_neutral_2020_wbonly,preregistered,drug cue reactivity,0.028269,0.339953
cue_reactivity,2_drug_neutral_2020_wbonly,column_name,drug cue reactivity,0.028269,0.339953
cue_reactivity,2_drug_neutral_2020_wbonly,project+column,cue reactivity drug cue reactivity,0.026387,0.340176
cue_reactivity,2_drug_neutral_2020_wbonly,head_term,cue reactivity,0.024447,0.292196
cue_reactivity,2_drug_neutral_2020_wbonly,plus_modality,drug cue reactivity fmri activation,0.026764,0.322498
cue_reactivity,3_natural_neutral_2020_wbonly,preregistered,natural reward cue reactivity,0.032508,0.230828
cue_reactivity,3_natural_neutral_2020_wbonly,column_name,natural reward cue reactivity,0.032508,0.230828
cue_reactivity,3_natural_neutral_2020_wbonly,project+column,cue reactivity natural reward cue reactivity,0.038181,0.252435
cue_reactivity,3_natural_neutral_2020_wbonly,head_term,cue reactivity,0.036585,0.253588
cue_reactivity,3_natural_neutral_2020_wbonly,plus_modality,natural reward cue reactivity fmri activation,0.032878,0.235363
decision_making,adm_july2019,preregistered,decision making under ambiguity,0.004982,0.21447
decision_making,adm_july2019,column_name,ambiguous decision making,5.6e-05,0.201337
decision_making,adm_july2019,project+column,decision making ambiguous decision making,0.0008,0.220141
decision_making,adm_july2019,head_term,under ambiguity,0.003017,0.145338
decision_making,adm_july2019,plus_modality,decision making under ambiguity fmri activation,0.006194,0.279538
decision_making,perceptual_dm_july2019,preregistered,perceptual decision making,0.064159,0.159587
decision_making,perceptual_dm_july2019,column_name,perceptual decision making,0.064159,0.159587
decision_making,perceptual_dm_july2019,project+column,decision making perceptual decision making,0.095117,0.19364
decision_making,perceptual_dm_july2019,head_term,decision making,0.091337,0.093262
