project,arm,run,manual_analysis,auto_analysis,dice,pearson_r,r2
vbm_of_ptsd,full text,v1-A1-mini,nonptsdgtptsd_merged,decreased_gm,0.8008,0.6904,0.4767
vbm_of_ptsd,record + evidence,v1-record-with-evidence,nonptsdgtptsd_merged,decreased_gm,0.7829,0.6965,0.4852
vbm_of_ptsd,"record, no evidence",v1-record-no-evidence,nonptsdgtptsd_merged,decreased_gm,0.2987,0.6541,0.4278
cue_reactivity,full text,v5-gpt-A1-mini,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6119,0.7686,0.5907
cue_reactivity,record + evidence,v5-gpt-record-with-evidence,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6116,0.7677,0.5893
cue_reactivity,"record, no evidence",v5-gpt-record-no-evidence,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6146,0.7777,0.6048
cue_reactivity,full text,v5-gpt-A1-mini,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.5967,0.8238,0.6786
cue_reactivity,record + evidence,v5-gpt-record-with-evidence,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.5742,0.8124,0.66
cue_reactivity,"record, no evidence",v5-gpt-record-no-evidence,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.5855,0.82,0.6724
cue_reactivity,full text,v5-gpt-A1-mini,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.4752,0.5921,0.3505
cue_reactivity,record + evidence,v5-gpt-record-with-evidence,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.4825,0.6038,0.3646
cue_reactivity,"record, no evidence",v5-gpt-record-no-evidence,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.4817,0.6089,0.3708
dementia,full text,v3,all,dementia_all,0.3919,0.5959,0.3551
dementia,record + evidence,v3-record-with-evidence,all,dementia_all,0.4715,0.6889,0.4746
dementia,"record, no evidence",v3-record-no-evidence,all,dementia_all,0.4778,0.6865,0.4712
dementia,full text,v3,decrease,dementia_decreasing_activity,0.3577,0.6088,0.3706
dementia,record + evidence,v3-record-with-evidence,decrease,dementia_decreasing_activity,0.3555,0.6203,0.3848
dementia,"record, no evidence",v3-record-no-evidence,decrease,dementia_decreasing_activity,0.3846,0.6247,0.3902
dementia,full text,v3,functional,functional,0.2625,0.5565,0.3097
dementia,record + evidence,v3-record-with-evidence,functional,functional,0.3161,0.5262,0.2768
dementia,"record, no evidence",v3-record-no-evidence,functional,functional,0.2482,0.5246,0.2752
dementia,full text,v3,structural,structural,0.2822,0.5221,0.2726
dementia,record + evidence,v3-record-with-evidence,structural,structural,0.402,0.6465,0.418
dementia,"record, no evidence",v3-record-no-evidence,structural,structural,0.3789,0.6319,0.3994
vbm_of_substance_use,full text,v2,all_drug_classes,all_drug_classes,0.4976,0.77,0.5929
vbm_of_substance_use,record + evidence,v2-record-with-evidence,all_drug_classes,all_drug_classes,0.4473,0.7597,0.5772
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,all_drug_classes,all_drug_classes,0.4375,0.7592,0.5764
vbm_of_substance_use,full text,v2,alcohol,alcohol,0.5816,0.8409,0.7071
vbm_of_substance_use,record + evidence,v2-record-with-evidence,alcohol,alcohol,0.4863,0.805,0.6481
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,alcohol,alcohol,0.4902,0.8153,0.6647
vbm_of_substance_use,full text,v2,nicotine,nicotine,0.3962,0.6413,0.4112
vbm_of_substance_use,record + evidence,v2-record-with-evidence,nicotine,nicotine,0.3239,0.6043,0.3652
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,nicotine,nicotine,0.3414,0.635,0.4032
vbm_of_substance_use,full text,v2,opioids,opioids,0.17,0.783,0.613
vbm_of_substance_use,record + evidence,v2-record-with-evidence,opioids,opioids,0.3153,0.8712,0.759
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,opioids,opioids,0.3153,0.8712,0.759
vbm_of_substance_use,full text,v2,stimulants,stimulants,0.501,0.7605,0.5784
vbm_of_substance_use,record + evidence,v2-record-with-evidence,stimulants,stimulants,0.483,0.7506,0.5633
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,stimulants,stimulants,0.3923,0.6951,0.4832
vbm_of_substance_use,full text,v2,cannabis,cannabis,0.2831,0.8281,0.6857
vbm_of_substance_use,record + evidence,v2-record-with-evidence,cannabis,cannabis,0.2826,0.7795,0.6077
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,cannabis,cannabis,0.2826,0.7795,0.6077
