project,version,column,baseline,annotation_only,allstudies,full
emotion_regulation_2022,v4,decrease,0.4251,0.7149,0.6874,0.6979
emotion_regulation_2022,v4,increase,0.1294,0.4535,0.4929,0.4857
emotion_regulation_2022,v4,maintain,0.2093,0.4584,0.5243,0.5294
emotion_regulation_2022,v4,reappraisal,0.5462,0.7122,0.7007,0.7236
social,v3,affiliation_merged,0.2575,0.4012,0.3838,0.4463
social,v3,all_merged,0.6904,0.731,0.7338,0.7521
social,v3,others_merged,0.4681,0.6546,0.6651,0.6439
social,v3,self_merged,0.2016,0.4886,0.4937,0.4745
social,v3,soccomm_merged,0.4232,0.5726,0.5829,0.6062
dementia,v3,all,0.2257,0.5127,0.436,0.4866
dementia,v3,decrease,0.242,0.4054,0.4194,0.4668
dementia,v3,functional,0.0549,0.412,0.2887,0.3595
dementia,v3,structural,0.1503,0.3583,0.3275,0.3357
