pmid,project,n_analyses_flagged,reviewer,review_files,run_dirs,unit_ids,notes
18460331,cue_reactivity,2,AD,parser_failure_review_2.json,v5-annotation-only-gpt,cue_reactivity:18460331:18460331_2;cue_reactivity:18460331:18460331_4,
20823246,cue_reactivity,1,AD,parser_failure_review_2.json,v5-annotation-only-gpt,cue_reactivity:20823246:20823246_1,
26767945,cue_reactivity,1,AD,parser_failure_review_2.json,v5-annotation-only-gpt,cue_reactivity:26767945:26767945_1,
26805583,cue_reactivity,1,AD,parser_failure_review_2.json,v5-annotation-only-gpt,cue_reactivity:26805583:26805583_1,
27168331,cue_reactivity,1,AD,parser_failure_review_2.json,v5-annotation-only-gpt,cue_reactivity:27168331:27168331_1,
29106683,cue_reactivity,1,AD,parser_failure_review_2.json,v5-annotation-only-gpt,cue_reactivity:29106683:29106683_2,
30165099,cue_reactivity,1,AD,parser_failure_review_2.json,v5-annotation-only-gpt,cue_reactivity:30165099:30165099_1,
30734916,cue_reactivity,2,AD,parser_failure_review_2.json,v5-annotation-only-gpt,cue_reactivity:30734916:30734916_1;cue_reactivity:30734916:30734916_2,
31972520,cue_reactivity,2,AD,parser_failure_review_2.json,v5-annotation-only-gpt,cue_reactivity:31972520:31972520_1;cue_reactivity:31972520:31972520_2,
32678839,cue_reactivity,2,AD,parser_failure_review_2.json,v5-annotation-only-gpt,cue_reactivity:32678839:32678839_1;cue_reactivity:32678839:32678839_2,
28131862,decision_making,1,AD,parser_failure_review.json,v2-annotation-only,decision_making:28131862:28131862_1,
27567867,dementia,2,AD,parser_failure_review_2.json,v3-annotation-only,dementia:27567867:Santamaria-Garcia_2016_1;dementia:27567867:Santamaria-Garcia_2016_2,
17320049,problem_solving,1,AD,parser_failure_review_2.json,v1-annotation-only,problem_solving:17320049:17320049_2,
20188182,social,6,AD,parser_failure_review_2.json,v3-annotation-only,social:20188182:20188182_1;social:20188182:20188182_2;social:20188182:20188182_4;social:20188182:20188182_5;social:20188182:20188182_6;social:20188182:20188182_7,
21206532,social,4,AD,parser_failure_review_2.json,v3-annotation-only,social:21206532:21206532_1;social:21206532:21206532_2;social:21206532:21206532_3;social:21206532:21206532_4,
23221019,social,2,AD,parser_failure_review_2.json,v3-annotation-only,social:23221019:23221019_1;social:23221019:23221019_3,
23684882,social,3,AD,parser_failure_review_2.json,v3-annotation-only,social:23684882:23684882_3;social:23684882:23684882_4;social:23684882:23684882_5,
24582805,social,2,AD,parser_failure_review_2.json,v3-annotation-only,social:24582805:24582805_1;social:24582805:24582805_2,
25534111,social,3,AD,parser_failure_review_2.json,v3-annotation-only,social:25534111:25534111_1;social:25534111:25534111_2;social:25534111:25534111_3,
25911123,social,4,AD,parser_failure_review_2.json,v3-annotation-only,social:25911123:25911123_1;social:25911123:25911123_2;social:25911123:25911123_3;social:25911123:25911123_4,
26143208,social,7,AD,parser_failure_review_2.json,v3-annotation-only,social:26143208:26143208_1;social:26143208:26143208_2;social:26143208:26143208_3;social:26143208:26143208_4;social:26143208:26143208_5;social:26143208:26143208_6;social:26143208:26143208_7,
26417673,social,2,AD,parser_failure_review_2.json,v3-annotation-only,social:26417673:26417673_1;social:26417673:26417673_3,
26604273,social,2,AD,parser_failure_review_2.json,v3-annotation-only,social:26604273:26604273_1;social:26604273:26604273_2,
26920683,social,3,AD,parser_failure_review_2.json,v3-annotation-only,social:26920683:26920683_2;social:26920683:26920683_3;social:26920683:26920683_6,
27095057,social,1,AD,parser_failure_review_2.json,v3-annotation-only,social:27095057:27095057_1,
27217118,social,2,AD,parser_failure_review_2.json,v3-annotation-only,social:27217118:27217118_1;social:27217118:27217118_2,
27510495,social,6,AD,parser_failure_review_2.json,v3-annotation-only,social:27510495:27510495_1;social:27510495:27510495_3;social:27510495:27510495_4;social:27510495:27510495_5;social:27510495:27510495_7;social:27510495:27510495_8,
27568587,social,1,AD,parser_failure_review_2.json,v3-annotation-only,social:27568587:27568587_2,
29265483,social,2,AD,parser_failure_review_2.json,v3-annotation-only,social:29265483:29265483_2;social:29265483:29265483_3,
20699124,vbm_of_substance_use,1,AD,parser_failure_review_2.json,v2-annotation-only-gpt,vbm_of_substance_use:20699124:20699124_1,
