project,manual_annotation,query,neuroquery_r2,neurovlm_r2,topk_dice_neurovlm,topk_k,topk_dice_neuroquery,topk_dice_pipeline,topk_dice_best_baseline,topk_dice_broad,autonima_r2,best_baseline_r2,delta_autonima_vs_neuroquery
cue_reactivity,1_reward_neutral_2020_wbonly,cue reactivity,0.052403,0.198682,0.344294,23416,0.209728,0.631876,0.544201,0.601811,0.6104,0.4876,0.557997
cue_reactivity,2_drug_neutral_2020_wbonly,drug cue reactivity,0.035449,0.222832,0.291528,11131,0.130626,0.599766,0.559518,0.429791,0.6405,0.5403,0.605051
cue_reactivity,3_natural_neutral_2020_wbonly,natural reward cue reactivity,0.042911,0.115703,0.200589,14946,0.191356,0.499465,0.37602,0.430684,0.4525,0.2866,0.409589
decision_making,adm_july2019,decision making under ambiguity,0.011857,0.093766,0.031544,2441,0.002458,0.23515,0.225727,0.220401,0.2522,0.2852,0.240343
decision_making,perceptual_dm_july2019,perceptual decision making,0.077109,0.065539,0.062507,9119,0.062726,0.666301,0.659063,0.455203,0.6793,0.6595,0.602191
decision_making,rdm_july2019,risky decision making,0.075672,0.077359,,,,,,,0.1339,0.1539,0.058228
emotion_regulation_2022,decrease,decreasing negative emotion,0.004776,0.001512,0.061819,17438,0.123982,0.701858,0.414268,0.422067,0.7454,0.247,0.740624
emotion_regulation_2022,increase,increasing emotional response,0.004197,0.008483,0.021197,3208,0.033042,0.51808,0.22101,0.253117,0.4404,0.1461,0.436203
emotion_regulation_2022,maintain,maintaining emotional response,0.002409,0.084409,0.190414,8450,0.067811,0.489941,0.254675,0.254675,0.5556,0.2181,0.553191
emotion_regulation_2022,reappraisal,cognitive reappraisal,0.070508,0.086434,0.214596,18416,0.282743,0.724099,0.550228,0.44722,0.7877,0.4798,0.717192
executive_function,all,executive function,0.364639,0.294504,0.513109,30093,0.609643,0.78829,0.75908,0.764231,0.8182,0.7816,0.453561
executive_function,flexibility,cognitive flexibility task switching,0.116041,0.280303,0.431669,1983,0.062532,0.357539,0.262733,0.257186,0.313,0.3019,0.196959
executive_function,inhibition,response inhibition,0.233588,0.22795,0.30626,13913,0.387911,0.619205,0.60828,0.659024,0.6056,0.5815,0.372012
executive_function,working_memory,working memory,0.324348,0.383364,0.58256,22959,0.504116,0.756087,0.733569,0.710527,0.7758,0.7426,0.451452
problem_solving,calculation_mni_final,mental arithmetic calculation,0.27479,0.344072,0.502681,16597,0.389287,0.709586,0.699283,,0.7459,0.7126,0.47111
problem_solving,demand_mni_final,logical reasoning,0.149656,0.266878,0.373776,10822,0.247182,0.633894,0.562558,,0.6331,0.4569,0.483444
problem_solving,global_calculationandvisuospatialandword_mni_final,problem solving reasoning,0.312398,0.32418,0.515851,27064,0.51696,0.77047,0.70082,,0.8136,0.7127,0.501202
problem_solving,visuospatialreasoning_mni_final,visuospatial reasoning,0.191246,0.171685,0.167605,11014,0.316869,0.447975,0.374342,,0.4557,0.2849,0.264454
problem_solving,wordproblems_mni_final,verbal problem solving,0.163814,0.260468,0.322817,11062,0.363406,0.580727,0.54077,,0.5673,0.4984,0.403486
social,affiliation_merged,attachment and affiliation,0.070284,0.105024,0.147838,4532,0.086496,0.385922,0.366064,0.298323,0.3469,0.2882,0.276616
social,all_merged,social cognition,0.092915,0.285147,0.483742,33675,0.351952,0.737283,0.703311,0.719169,0.7691,0.6985,0.676185
social,others_merged,person perception of others,0.038768,0.135667,0.252779,18799,0.24363,0.657588,0.61748,0.610352,0.6652,0.6215,0.626432
social,self_merged,self referential processing,0.036796,0.170823,0.13751,7374,0.205316,0.444264,0.339029,0.366965,0.3915,0.31,0.354704
social,soccomm_merged,social communication,0.044579,0.09882,0.231048,17135,0.178465,0.571112,0.502013,0.536329,0.572,0.4798,0.527421
vbm_of_ptsd,nonptsdgtptsd_merged,posttraumatic stress disorder gray matter,0.020211,0.041325,0.0,401,0.067332,0.264339,0.321696,0.391521,0.5784,0.2445,0.558189
vbm_of_substance_use,alcohol,alcohol dependence gray matter,0.000567,0.003981,0.0,441,0.0,0.501134,0.376417,0.115646,0.4953,0.2923,0.494733
vbm_of_substance_use,all_drug_classes,substance use disorder gray matter,0.020313,0.014263,0.0,214,0.0,0.280374,0.186916,0.168224,0.4441,0.3644,0.423787
vbm_of_substance_use,nicotine,nicotine smoking gray matter,0.009086,0.019903,,,,,,,0.3026,0.1103,0.293514
