project,family,tier,run,manual_annotation,r2,dice,same_run_as_best
cue_reactivity,canonical,verbatim,v1,1_reward_neutral_2020_wbonly,0.509669,0.385147,no
cue_reactivity,canonical,verbatim,v1,2_drug_neutral_2020_wbonly,0.314606,0.090568,no
cue_reactivity,canonical,verbatim,v1,3_natural_neutral_2020_wbonly,0.416059,0.398339,no
cue_reactivity,canonical,manual,v4,1_reward_neutral_2020_wbonly,0.688423,0.64128,no
cue_reactivity,canonical,manual,v4,2_drug_neutral_2020_wbonly,0.725347,0.62873,no
cue_reactivity,canonical,manual,v4,3_natural_neutral_2020_wbonly,0.414855,0.429209,no
cue_reactivity,canonical,best,v6,1_reward_neutral_2020_wbonly,0.664101,0.607754,yes
cue_reactivity,canonical,best,v6,2_drug_neutral_2020_wbonly,0.693917,0.546878,yes
cue_reactivity,canonical,best,v6,3_natural_neutral_2020_wbonly,0.513824,0.479207,yes
decision_making,canonical,verbatim,v1,adm_july2019,0.314045,0.242579,no
decision_making,canonical,verbatim,v1,rdm_july2019,0.2089,0.004372,no
decision_making,canonical,verbatim,v1,perceptual_dm_july2019,0.668399,0.600287,no
decision_making,canonical,best,v3,adm_july2019,0.326709,0.188882,yes
decision_making,canonical,best,v3,rdm_july2019,0.198008,0.005188,yes
decision_making,canonical,best,v3,perceptual_dm_july2019,0.710822,0.645438,yes
dementia,canonical,verbatim,v1,all,0.181413,0.067184,no
dementia,canonical,verbatim,v1,decrease,0.052308,0.0,no
dementia,canonical,verbatim,v1,functional,0.039204,0.0,no
dementia,canonical,verbatim,v1,structural,0.17627,0.072051,no
dementia,canonical,manual,v3,all,0.394994,0.315352,yes
dementia,canonical,manual,v3,decrease,0.415006,0.3436,yes
dementia,canonical,manual,v3,functional,0.294902,0.269381,yes
dementia,canonical,manual,v3,structural,0.325345,0.273722,yes
dementia,canonical,best,v3,all,0.394994,0.315352,yes
dementia,canonical,best,v3,decrease,0.415006,0.3436,yes
dementia,canonical,best,v3,functional,0.294902,0.269381,yes
dementia,canonical,best,v3,structural,0.325345,0.273722,yes
emotion_regulation_2022,canonical,best,v4,decrease,0.771466,0.702585,yes
emotion_regulation_2022,canonical,best,v4,increase,0.484793,0.526188,yes
emotion_regulation_2022,canonical,best,v4,maintain,0.604918,0.490918,yes
emotion_regulation_2022,canonical,best,v4,reappraisal,0.810279,0.724154,yes
executive_function,canonical,verbatim,v1,all,0.851169,0.769024,no
executive_function,canonical,verbatim,v1,working_memory,0.788035,0.709967,no
executive_function,canonical,verbatim,v1,inhibition,0.651885,0.603757,no
executive_function,canonical,verbatim,v1,flexibility,0.29647,0.226239,no
executive_function,canonical,best,v3,all,0.839782,0.742068,yes
executive_function,canonical,best,v3,working_memory,0.80035,0.700558,yes
executive_function,canonical,best,v3,inhibition,0.651175,0.600712,yes
executive_function,canonical,best,v3,flexibility,0.369634,0.256909,yes
problem_solving,canonical,verbatim,v1,global_calculationandvisuospatialandword_mni_final,0.822458,0.73682,no
problem_solving,canonical,verbatim,v1,calculation_mni_final,0.759873,0.670561,no
problem_solving,canonical,verbatim,v1,wordproblems_mni_final,0.535274,0.509792,no
problem_solving,canonical,verbatim,v1,visuospatialreasoning_mni_final,0.484898,0.404573,no
problem_solving,canonical,verbatim,v1,demand_mni_final,0.568724,0.50265,no
problem_solving,canonical,best,v2,global_calculationandvisuospatialandword_mni_final,0.836172,0.754676,yes
problem_solving,canonical,best,v2,calculation_mni_final,0.769754,0.676205,yes
problem_solving,canonical,best,v2,wordproblems_mni_final,0.616222,0.581169,yes
problem_solving,canonical,best,v2,visuospatialreasoning_mni_final,0.522017,0.455245,yes
problem_solving,canonical,best,v2,demand_mni_final,0.668178,0.578949,yes
social,canonical,manual,v2,affiliation_merged,0.38685,0.297476,no
social,canonical,manual,v2,self_merged,0.339428,0.36806,no
social,canonical,manual,v2,others_merged,0.709113,0.609199,no
social,canonical,manual,v2,soccomm_merged,0.602052,0.548984,no
social,canonical,manual,v2,all_merged,0.789988,0.727213,no
social,canonical,best,v3,affiliation_merged,0.423499,0.385687,yes
social,canonical,best,v3,self_merged,0.474709,0.43249,yes
social,canonical,best,v3,others_merged,0.719401,0.595605,yes
social,canonical,best,v3,soccomm_merged,0.641522,0.562867,yes
social,canonical,best,v3,all_merged,0.809737,0.738101,yes
vbm_of_ptsd,canonical,verbatim,v1,nonptsdgtptsd_merged,0.608481,0.110855,yes
vbm_of_ptsd,canonical,manual,v1,nonptsdgtptsd_merged,0.608481,0.110855,yes
vbm_of_ptsd,canonical,best,v1,nonptsdgtptsd_merged,0.608481,0.110855,yes
vbm_of_substance_use,canonical,verbatim,v1,all_drug_classes,0.525903,0.08196,no
vbm_of_substance_use,canonical,verbatim,v1,alcohol,0.562979,0.464832,no
vbm_of_substance_use,canonical,verbatim,v1,nicotine,0.357867,0.0,no
vbm_of_substance_use,canonical,best,v2,all_drug_classes,0.515272,0.10701,yes
vbm_of_substance_use,canonical,best,v2,alcohol,0.548056,0.393528,yes
vbm_of_substance_use,canonical,best,v2,nicotine,0.360539,0.0,yes
