stage,metric,value,ci_lower,ci_upper
search,true_positives,309,,
search,false_negatives,0,,
search,false_positives,175,,
search,recall,1.0,0.9877203031821855,1
search,precision,0.6384297520661157,0.5946904046818628,0.6799889174587666
abstract,true_positives,307,,
abstract,false_negatives,2,,
abstract,false_positives,67,,
abstract,recall_in_search,0.9935275080906149,0.9767110316336969,0.9982232482063245
abstract,recall_all_meta,0.9935275080906149,0.9767110316336969,0.9982232482063245
abstract,precision,0.820855614973262,0.7787894191144276,0.8563973893259347
fulltext,true_positives,305,,
fulltext,false_negatives,3,,
fulltext,false_positives,38,,
fulltext,additional_false_negatives,1,,
fulltext,recall_in_search,0.9902597402597403,0.97175831733924,0.9966820703447637
fulltext,recall_all_meta,0.9870550161812298,0.967193430994566,0.9949548255032912
fulltext,precision,0.8892128279883382,0.851589571037009,0.9182142817880269
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,308,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.012319074812340625
fulltext_with_coords,recall_all_meta,0.0,0,0.01227969681781451
fulltext_with_coords,precision,0,0.0,0.0
