stage,metric,value,ci_lower,ci_upper
search,true_positives,364,,
search,false_negatives,1,,
search,false_positives,128,,
search,recall,0.9972602739726028,0.9846460873645747,0.9995162197070787
search,precision,0.7398373983739838,0.6993178447428781,0.7766406065044558
abstract,true_positives,344,,
abstract,false_negatives,20,,
abstract,false_positives,39,,
abstract,recall_in_search,0.945054945054945,0.9166603686122696,0.9641535469426865
abstract,recall_all_meta,0.9424657534246575,0.9136499405902418,0.9620647293385296
abstract,precision,0.8981723237597912,0.863822756132197,0.9246136478119498
fulltext,true_positives,94,,
fulltext,false_negatives,33,,
fulltext,false_positives,9,,
fulltext,additional_false_negatives,13,,
fulltext,recall_in_search,0.7401574803149606,0.6576311525828926,0.8085814281253838
fulltext,recall_all_meta,0.25753424657534246,0.21536180883654343,0.30475739680620395
fulltext,precision,0.912621359223301,0.8422209571522518,0.9533493076135325
fulltext_with_coords,true_positives,51,,
fulltext_with_coords,false_negatives,76,,
fulltext_with_coords,false_positives,2,,
fulltext_with_coords,recall_in_search,0.4015748031496063,0.3204164822002564,0.48851278800126974
fulltext_with_coords,recall_all_meta,0.13972602739726028,0.10789710018318235,0.17905968560236893
fulltext_with_coords,precision,0.9622641509433962,0.8724547684904087,0.9895899311661807
